,Genus,Accepted_Name,Accepted_ID,Accepted_Species,Accepted_Species_ID,Accepted_Rank,alk_indole,alk_indolizidine,alk_mia,alk_monoterpene,alk_peptide,alk_piperidine,alk_pyridine,alk_pyrrole,alk_pyrrolidine,alk_quinoline,alk_quinolizidine
1,Antonia,Antonia ovata,545655-1,Antonia ovata,545655-1,Species,0,0,0,0,0,0,1,0,0,0,0
14,Gardneria,Gardneria multiflora,546341-1,Gardneria multiflora,546341-1,Species,1,0,1,1,0,0,0,0,0,0,0
15,Gardneria,Gardneria nutans,546343-1,Gardneria nutans,546343-1,Species,1,0,1,1,0,0,0,0,0,0,0
16,Gardneria,Gardneria ovata,546344-1,Gardneria ovata,546344-1,Species,1,0,1,1,0,0,0,0,0,0,0
205,Spigelia,Spigelia anthelmia,318920-2,Spigelia anthelmia,318920-2,Species,0,0,0,0,0,0,0,1,0,0,0
291,Strychnos,Strychnos aculeata,547024-1,Strychnos aculeata,547024-1,Species,1,0,1,1,0,0,0,0,0,0,0
294,Strychnos,Strychnos afzelii,547031-1,Strychnos afzelii,547031-1,Species,1,0,1,1,0,0,0,0,0,0,0
296,Strychnos,Strychnos amazonica,247278-2,Strychnos amazonica,247278-2,Species,1,0,1,1,0,0,0,0,0,0,0
298,Strychnos,Strychnos angolensis,547038-1,Strychnos angolensis,547038-1,Species,1,1,1,1,0,0,1,0,0,0,1
299,Strychnos,Strychnos angustiflora,547039-1,Strychnos angustiflora,547039-1,Species,1,0,1,1,0,0,1,0,0,0,0
303,Strychnos,Strychnos atlantica,247281-2,Strychnos atlantica,247281-2,Species,1,0,1,1,0,0,0,0,0,0,0
306,Strychnos,Strychnos barnhartiana,247283-2,Strychnos barnhartiana,247283-2,Species,1,0,0,0,0,0,0,0,0,0,0
312,Strychnos,Strychnos borneensis,547074-1,Strychnos borneensis,547074-1,Species,1,0,1,1,0,0,1,0,0,0,0
313,Strychnos,Strychnos brachiata,547077-1,Strychnos brachiata,547077-1,Species,1,0,1,1,0,0,0,0,0,0,0
315,Strychnos,Strychnos brasiliensis,547081-1,Strychnos brasiliensis,547081-1,Species,1,0,1,1,0,0,0,0,0,0,0
320,Strychnos,Strychnos castelnaeana,547100-1,Strychnos castelnaeana,547100-1,Species,1,0,1,1,0,0,0,0,0,0,0
321,Strychnos,Strychnos cathayensis,547102-1,Strychnos cathayensis,547102-1,Species,1,0,1,1,0,0,0,0,0,0,0
324,Strychnos,Strychnos chlorantha,547109-1,Strychnos chlorantha,547109-1,Species,1,0,1,1,0,0,0,0,0,0,0
326,Strychnos,Strychnos chrysophylla,547114-1,Strychnos chrysophylla,547114-1,Species,1,0,0,0,0,0,0,0,0,0,0
337,Strychnos,Strychnos dale,547149-1,Strychnos dale,547149-1,Species,1,0,1,1,0,0,0,0,0,0,0
342,Strychnos,Strychnos decussata,50426037-2,Strychnos decussata,50426037-2,Species,1,0,1,1,0,0,0,0,0,0,0
