,Name,Any_info,Genus,Species,Tested_for_Alkaloids,Ref_Alks,Alkaloids,Alkaloid_mainclass,Alkaloid_class,Alkaloid_class_notes,History_Antimalarial,Ref_H_Mal,History_Fever,Ref_H_Fever,Tested_Antimalarial,Extraction_Method,Type_of_Test,Activity_Antimalarial,Authors_Activity_Label,Positive_Control_Used,Given_Activities,Ref_Activity,General_notes,MPNS_Sources,Details,Cardenolides,Cardenolides_Ref,Steroids,Steroids_Ref,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Adelphacme minima,NRIF (1 sp.),Adelphacme,minima,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Adelphacme minima,Adelphacme minima,77154429-1,77154429-1,Species
1,Antonia ovata,All spp. listed (1 sp.),Antonia,ovata,Yes,29,"Isolated, L",Pyridine,Pyridine,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Antonia ovata,Antonia ovata,545655-1,545655-1,Species
2,Bonyunia antoniifolia,NRIF (10 spp.),Bonyunia,antoniifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia antoniifolia,Bonyunia antoniifolia,545660-1,545660-1,Species
3,Bonyunia aquatica,,Bonyunia,aquatica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia aquatica,Bonyunia aquatica,34787-2,34787-2,Species
4,Bonyunia excelsa,,Bonyunia,excelsa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia excelsa,Bonyunia excelsa,77104860-1,77104860-1,Species
5,Bonyunia magnifica,,Bonyunia,magnifica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia magnifica,Bonyunia magnifica,77104861-1,77104861-1,Species
6,Bonyunia minor,,Bonyunia,minor,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia minor,Bonyunia minor,34789-2,34789-2,Species
7,Bonyunia nobilis,,Bonyunia,nobilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia nobilis,Bonyunia nobilis,77104862-1,77104862-1,Species
8,Bonyunia pulchra,,Bonyunia,pulchra,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia pulchra,Bonyunia pulchra,77104863-1,77104863-1,Species
9,Bonyunia spectabilis,,Bonyunia,spectabilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia spectabilis,Bonyunia spectabilis,77104864-1,77104864-1,Species
