,Name,Any_info,Genus,Species,Tested_for_Alkaloids,Ref_Alks,Alkaloids,Alkaloid_mainclass,Alkaloid_class,Alkaloid_class_notes,History_Antimalarial,Ref_H_Mal,History_Fever,Ref_H_Fever,Tested_Antimalarial,Extraction_Method,Type_of_Test,Activity_Antimalarial,Authors_Activity_Label,Positive_Control_Used,Given_Activities,Ref_Activity,General_notes,MPNS_Sources,Details,Cardenolides,Cardenolides_Ref,Steroids,Steroids_Ref,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
10,Bonyunia superba,,Bonyunia,superba,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia superba,Bonyunia superba,545664-1,545664-1,Species
11,Bonyunia venusta,,Bonyunia,venusta,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Bonyunia venusta,Bonyunia venusta,77104865-1,77104865-1,Species
12,Gardneria angustifolia,Spp. listed (3/5),Gardneria,angustifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Gardneria angustifolia,Gardneria angustifolia,546332-1,546332-1,Species
13,Gardneria lanceolata,,Gardneria,lanceolata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Gardneria lanceolata,Gardneria lanceolata,546339-1,546339-1,Species
14,Gardneria multiflora,,Gardneria,multiflora,Yes,31/32/33,"Isolated, U [31] / Isolated, U [32] / Isolated, A [33]",MIA [31]; bisindole [32],MIA [31]; bisindole [32]; oxindole [33],,,,,,,,,,,,,,,,,,,,,Loganiaceae,Gardneria multiflora,Gardneria multiflora,546341-1,546341-1,Species
15,Gardneria nutans,,Gardneria,nutans,Yes,31/35,"Isolated, U [31] / Isolated, L [34]",MIA,MIA,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Gardneria nutans,Gardneria nutans,546343-1,546343-1,Species
16,Gardneria ovata,,Gardneria,ovata,Yes,30/34,"Isolated, A [30]; Isolated, T & L [34]",MIA [30]; bisindole [34],MIA; oxindole; glycosidated MIA [30]; bisindole [34],Glycosidated alkaloids and non-glycosidated alkaloids [30]. Unusual bisindole structure,,,,,,,,,,,,,,,,,,,,Loganiaceae,Gardneria ovata,Gardneria ovata,546344-1,546344-1,Species
17,Geniostoma angustifolium,,Geniostoma,angustifolium,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma angustifolium,Geniostoma angustifolium,546360-1,546360-1,Species
18,Geniostoma antherotrichum,,Geniostoma,antherotrichum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma antherotrichum,Geniostoma antherotrichum,546361-1,546361-1,Species
19,Geniostoma balansanum,,Geniostoma,balansanum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma balansanum,Geniostoma balansanum,546368-1,546368-1,Species
20,Geniostoma biseriale,,Geniostoma,biseriale,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma biseriale,Geniostoma biseriale,546370-1,546370-1,Species
21,Geniostoma borbonicum,Sp. listed (1/51),Geniostoma,borbonicum,,,,,,,,,,,Yes,Extraction,Vitro,Inactive,Inactive [2],,"IC50 > 50 μg/ml (DCM B + L, 3D7 & W2)",2,,,,,,,,Loganiaceae,Geniostoma borbonicum,Geniostoma borbonicum,546371-1,546371-1,Species
22,Geniostoma calcicola,,Geniostoma,calcicola,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma calcicola,Geniostoma calcicola,546375-1,546375-1,Species
23,Geniostoma celastrineum,,Geniostoma,celastrineum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma celastrineum,Geniostoma celastrineum,546377-1,546377-1,Species
24,Geniostoma clavatum,,Geniostoma,clavatum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma clavatum,Geniostoma clavatum,546379-1,546379-1,Species
25,Geniostoma cyrtandrae,,Geniostoma,cyrtandrae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma cyrtandrae,Geniostoma cyrtandrae,546388-1,546388-1,Species
26,Geniostoma degeneri,,Geniostoma,degeneri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma degeneri,Geniostoma degeneri,77183773-1,77183773-1,Species
27,Geniostoma densiflorum,,Geniostoma,densiflorum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma densiflorum,Geniostoma densiflorum,546391-1,546391-1,Species
28,Geniostoma erythrospermum,,Geniostoma,erythrospermum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma erythrospermum,Geniostoma erythrospermum,546396-1,546396-1,Species
29,Geniostoma fagraeoides,,Geniostoma,fagraeoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma fagraeoides,Geniostoma fagraeoides,546397-1,546397-1,Species
30,Geniostoma gagnae,,Geniostoma,gagnae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma gagnae,Geniostoma gagnae,897803-1,897803-1,Species
31,Geniostoma gaudichaudii,,Geniostoma,gaudichaudii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma gaudichaudii,Geniostoma gaudichaudii,77209911-1,77209911-1,Species
32,Geniostoma glaucescens,,Geniostoma,glaucescens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma glaucescens,Geniostoma glaucescens,546407-1,546407-1,Species
33,Geniostoma grandifolium,,Geniostoma,grandifolium,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma grandifolium,Geniostoma grandifolium,546409-1,546409-1,Species
34,Geniostoma hallei,,Geniostoma,hallei,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma hallei,Geniostoma hallei,546411-1,546411-1,Species
35,Geniostoma hedyosmifolium,,Geniostoma,hedyosmifolium,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma hedyosmifolium,Geniostoma hedyosmifolium,77183885-1,77183885-1,Species
36,Geniostoma helleri,,Geniostoma,helleri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma helleri,Geniostoma helleri,77183962-1,77183962-1,Species
37,Geniostoma hirtellum,,Geniostoma,hirtellum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma hirtellum,Geniostoma hirtellum,77184210-1,77184210-1,Species
38,Geniostoma hosakanum,,Geniostoma,hosakanum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma hosakanum,Geniostoma hosakanum,77183654-1,77183654-1,Species
39,Geniostoma huttonii,,Geniostoma,huttonii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma huttonii,Geniostoma huttonii,970839-1,970839-1,Species
40,Geniostoma hymenopodum,,Geniostoma,hymenopodum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma hymenopodum,Geniostoma hymenopodum,77183878-1,77183878-1,Species
41,Geniostoma imbricatum,,Geniostoma,imbricatum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma imbricatum,Geniostoma imbricatum,77154426-1,77154426-1,Species
42,Geniostoma kaalae,,Geniostoma,kaalae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma kaalae,Geniostoma kaalae,77122818-1,77122818-1,Species
43,Geniostoma leenhoutsii,,Geniostoma,leenhoutsii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma leenhoutsii,Geniostoma leenhoutsii,546423-1,546423-1,Species
44,Geniostoma lorencianum,,Geniostoma,lorencianum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma lorencianum,Geniostoma lorencianum,77184257-1,77184257-1,Species
45,Geniostoma lydgatei,,Geniostoma,lydgatei,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma lydgatei,Geniostoma lydgatei,77184188-1,77184188-1,Species
46,Geniostoma macrophyllum,,Geniostoma,macrophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma macrophyllum,Geniostoma macrophyllum,546429-1,546429-1,Species
47,Geniostoma mooreanum,,Geniostoma,mooreanum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma mooreanum,Geniostoma mooreanum,546436-1,546436-1,Species
48,Geniostoma novae-caledoniae,,Geniostoma,novae-caledoniae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma novae-caledoniae,Geniostoma novae-caledoniae,546439-1,546439-1,Species
49,Geniostoma pedunculatum,,Geniostoma,pedunculatum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma pedunculatum,Geniostoma pedunculatum,546448-1,546448-1,Species
50,Geniostoma petiolosum,,Geniostoma,petiolosum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma petiolosum,Geniostoma petiolosum,546449-1,546449-1,Species
51,Geniostoma pumilum,,Geniostoma,pumilum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma pumilum,Geniostoma pumilum,77183839-1,77183839-1,Species
52,Geniostoma randianum,,Geniostoma,randianum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma randianum,Geniostoma randianum,546457-1,546457-1,Species
53,Geniostoma rapense,,Geniostoma,rapense,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma rapense,Geniostoma rapense,546458-1,546458-1,Species
54,Geniostoma rarotongense,,Geniostoma,rarotongense,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma rarotongense,Geniostoma rarotongense,897804-1,897804-1,Species
55,Geniostoma remyanum,,Geniostoma,remyanum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma remyanum,Geniostoma remyanum,546459-1,546459-1,Species
56,Geniostoma rupestre,,Geniostoma,rupestre,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma rupestre,Geniostoma rupestre,546462-1,546462-1,Species
57,Geniostoma stipulare,,Geniostoma,stipulare,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma stipulare,Geniostoma stipulare,546474-1,546474-1,Species
58,Geniostoma sykesii,,Geniostoma,sykesii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma sykesii,Geniostoma sykesii,897805-1,897805-1,Species
59,Geniostoma tinifolium,,Geniostoma,tinifolium,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma tinifolium,Geniostoma tinifolium,77183797-1,77183797-1,Species
60,Geniostoma trichostylum,,Geniostoma,trichostylum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma trichostylum,Geniostoma trichostylum,546476-1,546476-1,Species
61,Geniostoma triflorum,,Geniostoma,triflorum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma triflorum,Geniostoma triflorum,77184007-1,77184007-1,Species
62,Geniostoma umbellatum,,Geniostoma,umbellatum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma umbellatum,Geniostoma umbellatum,546477-1,546477-1,Species
63,Geniostoma venosum,,Geniostoma,venosum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma venosum,Geniostoma venosum,77184074-1,77184074-1,Species
64,Geniostoma vestitum,,Geniostoma,vestitum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma vestitum,Geniostoma vestitum,546479-1,546479-1,Species
65,Geniostoma waialealae,,Geniostoma,waialealae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma waialealae,Geniostoma waialealae,77183699-1,77183699-1,Species
66,Geniostoma waiolani,,Geniostoma,waiolani,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma waiolani,Geniostoma waiolani,77184146-1,77184146-1,Species
67,Geniostoma weinlandii,,Geniostoma,weinlandii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Geniostoma weinlandii,Geniostoma weinlandii,546482-1,546482-1,Species
68,Logania albiflora,NRIF (23 spp.),Logania,albiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania albiflora,Logania albiflora,546584-1,546584-1,Species
69,Logania archeri,,Logania,archeri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania archeri,Logania archeri,984031-1,984031-1,Species
70,Logania buxifolia,,Logania,buxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania buxifolia,Logania buxifolia,546589-1,546589-1,Species
71,Logania cordifolia,,Logania,cordifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania cordifolia,Logania cordifolia,546596-1,546596-1,Species
72,Logania crassifolia,,Logania,crassifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania crassifolia,Logania crassifolia,546597-1,546597-1,Species
73,Logania depressa,,Logania,depressa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania depressa,Logania depressa,546599-1,546599-1,Species
74,Logania diffusa,,Logania,diffusa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania diffusa,Logania diffusa,906553-1,906553-1,Species
75,Logania fasciculata,,Logania,fasciculata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania fasciculata,Logania fasciculata,546602-1,546602-1,Species
76,Logania granitica,,Logania,granitica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania granitica,Logania granitica,77085016-1,77085016-1,Species
77,Logania insularis,,Logania,insularis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania insularis,Logania insularis,546608-1,546608-1,Species
78,Logania linifolia,,Logania,linifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania linifolia,Logania linifolia,546611-1,546611-1,Species
79,Logania litoralis,,Logania,litoralis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania litoralis,Logania litoralis,984037-1,984037-1,Species
80,Logania micrantha,,Logania,micrantha,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania micrantha,Logania micrantha,546613-1,546613-1,Species
81,Logania minor,,Logania,minor,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania minor,Logania minor,984033-1,984033-1,Species
82,Logania nanophylla,,Logania,nanophylla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania nanophylla,Logania nanophylla,984032-1,984032-1,Species
83,Logania ovata,,Logania,ovata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania ovata,Logania ovata,546617-1,546617-1,Species
84,Logania perryana,,Logania,perryana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania perryana,Logania perryana,984035-1,984035-1,Species
85,Logania recurva,,Logania,recurva,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania recurva,Logania recurva,546620-1,546620-1,Species
86,Logania saxatilis,,Logania,saxatilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania saxatilis,Logania saxatilis,984036-1,984036-1,Species
87,Logania scabrella,,Logania,scabrella,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania scabrella,Logania scabrella,984034-1,984034-1,Species
88,Logania stenophylla,,Logania,stenophylla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania stenophylla,Logania stenophylla,546624-1,546624-1,Species
89,Logania sylvicola,,Logania,sylvicola,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania sylvicola,Logania sylvicola,77108596-1,77108596-1,Species
90,Logania vaginalis,,Logania,vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Logania vaginalis,Logania vaginalis,546627-1,546627-1,Species
91,Mitrasacme aggregata,NRIF (55 spp.),Mitrasacme,aggregata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme aggregata,Mitrasacme aggregata,990993-1,990993-1,Species
92,Mitrasacme albomarginata,,Mitrasacme,albomarginata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme albomarginata,Mitrasacme albomarginata,546631-1,546631-1,Species
93,Mitrasacme alsinoides,,Mitrasacme,alsinoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme alsinoides,Mitrasacme alsinoides,546632-1,546632-1,Species
94,Mitrasacme ambigua,,Mitrasacme,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme ambigua,Mitrasacme ambigua,546633-1,546633-1,Species
95,Mitrasacme bogoriensis,,Mitrasacme,bogoriensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme bogoriensis,Mitrasacme bogoriensis,546637-1,546637-1,Species
96,Mitrasacme brachystemonea,,Mitrasacme,brachystemonea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme brachystemonea,Mitrasacme brachystemonea,546638-1,546638-1,Species
97,Mitrasacme clarksonii,,Mitrasacme,clarksonii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme clarksonii,Mitrasacme clarksonii,990991-1,990991-1,Species
98,Mitrasacme connata,,Mitrasacme,connata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme connata,Mitrasacme connata,546646-1,546646-1,Species
99,Mitrasacme elata,,Mitrasacme,elata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme elata,Mitrasacme elata,546654-1,546654-1,Species
100,Mitrasacme epigaea,,Mitrasacme,epigaea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme epigaea,Mitrasacme epigaea,990987-1,990987-1,Species
101,Mitrasacme erophila,,Mitrasacme,erophila,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme erophila,Mitrasacme erophila,546655-1,546655-1,Species
102,Mitrasacme exserta,,Mitrasacme,exserta,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme exserta,Mitrasacme exserta,546656-1,546656-1,Species
103,Mitrasacme floribunda,,Mitrasacme,floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme floribunda,Mitrasacme floribunda,990989-1,990989-1,Species
104,Mitrasacme foliosa,,Mitrasacme,foliosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme foliosa,Mitrasacme foliosa,546657-1,546657-1,Species
105,Mitrasacme galbina,,Mitrasacme,galbina,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme galbina,Mitrasacme galbina,990997-1,990997-1,Species
106,Mitrasacme geniculosa,,Mitrasacme,geniculosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme geniculosa,Mitrasacme geniculosa,990995-1,990995-1,Species
107,Mitrasacme gentianea,,Mitrasacme,gentianea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme gentianea,Mitrasacme gentianea,546659-1,546659-1,Species
108,Mitrasacme glaucescens,,Mitrasacme,glaucescens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme glaucescens,Mitrasacme glaucescens,990981-1,990981-1,Species
109,Mitrasacme graminea,,Mitrasacme,graminea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme graminea,Mitrasacme graminea,990978-1,990978-1,Species
110,Mitrasacme hispida,,Mitrasacme,hispida,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme hispida,Mitrasacme hispida,546661-1,546661-1,Species
111,Mitrasacme inornata,,Mitrasacme,inornata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme inornata,Mitrasacme inornata,990992-1,990992-1,Species
112,Mitrasacme katjarranka,,Mitrasacme,katjarranka,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme katjarranka,Mitrasacme katjarranka,77148781-1,77148781-1,Species
113,Mitrasacme kenneallyi,,Mitrasacme,kenneallyi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme kenneallyi,Mitrasacme kenneallyi,990996-1,990996-1,Species
114,Mitrasacme laevis,,Mitrasacme,laevis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme laevis,Mitrasacme laevis,546664-1,546664-1,Species
115,Mitrasacme laricifolia,,Mitrasacme,laricifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme laricifolia,Mitrasacme laricifolia,546665-1,546665-1,Species
116,Mitrasacme latiflora,,Mitrasacme,latiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme latiflora,Mitrasacme latiflora,546666-1,546666-1,Species
117,Mitrasacme laxiceps,,Mitrasacme,laxiceps,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme laxiceps,Mitrasacme laxiceps,990999-1,990999-1,Species
118,Mitrasacme lutea,,Mitrasacme,lutea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme lutea,Mitrasacme lutea,546669-1,546669-1,Species
119,Mitrasacme maritima,,Mitrasacme,maritima,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme maritima,Mitrasacme maritima,990994-1,990994-1,Species
120,Mitrasacme micrantha,,Mitrasacme,micrantha,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme micrantha,Mitrasacme micrantha,546673-1,546673-1,Species
121,Mitrasacme multicaulis,,Mitrasacme,multicaulis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme multicaulis,Mitrasacme multicaulis,546675-1,546675-1,Species
122,Mitrasacme neglecta,,Mitrasacme,neglecta,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme neglecta,Mitrasacme neglecta,546676-1,546676-1,Species
123,Mitrasacme neldneri,,Mitrasacme,neldneri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme neldneri,Mitrasacme neldneri,990990-1,990990-1,Species
124,Mitrasacme nidulifera,,Mitrasacme,nidulifera,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme nidulifera,Mitrasacme nidulifera,990984-1,990984-1,Species
125,Mitrasacme nudicaulis,,Mitrasacme,nudicaulis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme nudicaulis,Mitrasacme nudicaulis,546679-1,546679-1,Species
126,Mitrasacme nummularia,,Mitrasacme,nummularia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme nummularia,Mitrasacme nummularia,546680-1,546680-1,Species
127,Mitrasacme oasena,,Mitrasacme,oasena,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme oasena,Mitrasacme oasena,990977-1,990977-1,Species
128,Mitrasacme paludosa,,Mitrasacme,paludosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme paludosa,Mitrasacme paludosa,546681-1,546681-1,Species
129,Mitrasacme patens,,Mitrasacme,patens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme patens,Mitrasacme patens,990988-1,990988-1,Species
130,Mitrasacme phascoides,,Mitrasacme,phascoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme phascoides,Mitrasacme phascoides,546686-1,546686-1,Species
131,Mitrasacme pilosa,,Mitrasacme,pilosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme pilosa,Mitrasacme pilosa,546687-1,546687-1,Species
132,Mitrasacme polymorpha,,Mitrasacme,polymorpha,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme polymorpha,Mitrasacme polymorpha,546689-1,546689-1,Species
133,Mitrasacme prolifera,,Mitrasacme,prolifera,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme prolifera,Mitrasacme prolifera,546690-1,546690-1,Species
134,Mitrasacme pygmaea,,Mitrasacme,pygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme pygmaea,Mitrasacme pygmaea,546693-1,546693-1,Species
135,Mitrasacme retroloba,,Mitrasacme,retroloba,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme retroloba,Mitrasacme retroloba,990983-1,990983-1,Species
136,Mitrasacme saxatilis,,Mitrasacme,saxatilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme saxatilis,Mitrasacme saxatilis,546695-1,546695-1,Species
137,Mitrasacme scopata,,Mitrasacme,scopata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme scopata,Mitrasacme scopata,990985-1,990985-1,Species
