,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Adelphacme minima,Adelphacme,minima,,,,,,,,,,Loganiaceae,Adelphacme minima,Adelphacme minima,77154429-1,77154429-1,Species,Manual
1,Antonia ovata,Antonia,ovata,1.0,1.0,29,,,,,,,Loganiaceae,Antonia ovata,Antonia ovata,545655-1,545655-1,Species,Manual
2,Bonyunia antoniifolia,Bonyunia,antoniifolia,,,,,,,,,,Loganiaceae,Bonyunia antoniifolia,Bonyunia antoniifolia,545660-1,545660-1,Species,Manual
3,Bonyunia aquatica,Bonyunia,aquatica,,,,,,,,,,Loganiaceae,Bonyunia aquatica,Bonyunia aquatica,34787-2,34787-2,Species,Manual
4,Bonyunia excelsa,Bonyunia,excelsa,,,,,,,,,,Loganiaceae,Bonyunia excelsa,Bonyunia excelsa,77104860-1,77104860-1,Species,Manual
5,Bonyunia magnifica,Bonyunia,magnifica,,,,,,,,,,Loganiaceae,Bonyunia magnifica,Bonyunia magnifica,77104861-1,77104861-1,Species,Manual
6,Bonyunia minor,Bonyunia,minor,,,,,,,,,,Loganiaceae,Bonyunia minor,Bonyunia minor,34789-2,34789-2,Species,Manual
7,Bonyunia nobilis,Bonyunia,nobilis,,,,,,,,,,Loganiaceae,Bonyunia nobilis,Bonyunia nobilis,77104862-1,77104862-1,Species,Manual
8,Bonyunia pulchra,Bonyunia,pulchra,,,,,,,,,,Loganiaceae,Bonyunia pulchra,Bonyunia pulchra,77104863-1,77104863-1,Species,Manual
9,Bonyunia spectabilis,Bonyunia,spectabilis,,,,,,,,,,Loganiaceae,Bonyunia spectabilis,Bonyunia spectabilis,77104864-1,77104864-1,Species,Manual
10,Bonyunia superba,Bonyunia,superba,,,,,,,,,,Loganiaceae,Bonyunia superba,Bonyunia superba,545664-1,545664-1,Species,Manual
11,Bonyunia venusta,Bonyunia,venusta,,,,,,,,,,Loganiaceae,Bonyunia venusta,Bonyunia venusta,77104865-1,77104865-1,Species,Manual
12,Gardneria angustifolia,Gardneria,angustifolia,,,,,,,,,,Loganiaceae,Gardneria angustifolia,Gardneria angustifolia,546332-1,546332-1,Species,Manual
13,Gardneria lanceolata,Gardneria,lanceolata,,,,,,,,,,Loganiaceae,Gardneria lanceolata,Gardneria lanceolata,546339-1,546339-1,Species,Manual
14,Gardneria multiflora,Gardneria,multiflora,1.0,1.0,31/32/33,,,,,,,Loganiaceae,Gardneria multiflora,Gardneria multiflora,546341-1,546341-1,Species,Manual
15,Gardneria nutans,Gardneria,nutans,1.0,1.0,31/35,,,,,,,Loganiaceae,Gardneria nutans,Gardneria nutans,546343-1,546343-1,Species,Manual
16,Gardneria ovata,Gardneria,ovata,1.0,1.0,30/34,,,,,,,Loganiaceae,Gardneria ovata,Gardneria ovata,546344-1,546344-1,Species,Manual
17,Geniostoma angustifolium,Geniostoma,angustifolium,,,,,,,,,,Loganiaceae,Geniostoma angustifolium,Geniostoma angustifolium,546360-1,546360-1,Species,Manual
18,Geniostoma antherotrichum,Geniostoma,antherotrichum,,,,,,,,,,Loganiaceae,Geniostoma antherotrichum,Geniostoma antherotrichum,546361-1,546361-1,Species,Manual
19,Geniostoma balansanum,Geniostoma,balansanum,,,,,,,,,,Loganiaceae,Geniostoma balansanum,Geniostoma balansanum,546368-1,546368-1,Species,Manual
20,Geniostoma biseriale,Geniostoma,biseriale,,,,,,,,,,Loganiaceae,Geniostoma biseriale,Geniostoma biseriale,546370-1,546370-1,Species,Manual
21,Geniostoma borbonicum,Geniostoma,borbonicum,,,,,,,,0.0,2,Loganiaceae,Geniostoma borbonicum,Geniostoma borbonicum,546371-1,546371-1,Species,Manual
22,Geniostoma calcicola,Geniostoma,calcicola,,,,,,,,,,Loganiaceae,Geniostoma calcicola,Geniostoma calcicola,546375-1,546375-1,Species,Manual
23,Geniostoma celastrineum,Geniostoma,celastrineum,,,,,,,,,,Loganiaceae,Geniostoma celastrineum,Geniostoma celastrineum,546377-1,546377-1,Species,Manual
24,Geniostoma clavatum,Geniostoma,clavatum,,,,,,,,,,Loganiaceae,Geniostoma clavatum,Geniostoma clavatum,546379-1,546379-1,Species,Manual
25,Geniostoma cyrtandrae,Geniostoma,cyrtandrae,,,,,,,,,,Loganiaceae,Geniostoma cyrtandrae,Geniostoma cyrtandrae,546388-1,546388-1,Species,Manual
26,Geniostoma degeneri,Geniostoma,degeneri,,,,,,,,,,Loganiaceae,Geniostoma degeneri,Geniostoma degeneri,77183773-1,77183773-1,Species,Manual
27,Geniostoma densiflorum,Geniostoma,densiflorum,,,,,,,,,,Loganiaceae,Geniostoma densiflorum,Geniostoma densiflorum,546391-1,546391-1,Species,Manual
28,Geniostoma erythrospermum,Geniostoma,erythrospermum,,,,,,,,,,Loganiaceae,Geniostoma erythrospermum,Geniostoma erythrospermum,546396-1,546396-1,Species,Manual
29,Geniostoma fagraeoides,Geniostoma,fagraeoides,,,,,,,,,,Loganiaceae,Geniostoma fagraeoides,Geniostoma fagraeoides,546397-1,546397-1,Species,Manual
30,Geniostoma gagnae,Geniostoma,gagnae,,,,,,,,,,Loganiaceae,Geniostoma gagnae,Geniostoma gagnae,897803-1,897803-1,Species,Manual
31,Geniostoma gaudichaudii,Geniostoma,gaudichaudii,,,,,,,,,,Loganiaceae,Geniostoma gaudichaudii,Geniostoma gaudichaudii,77209911-1,77209911-1,Species,Manual
32,Geniostoma glaucescens,Geniostoma,glaucescens,,,,,,,,,,Loganiaceae,Geniostoma glaucescens,Geniostoma glaucescens,546407-1,546407-1,Species,Manual
33,Geniostoma grandifolium,Geniostoma,grandifolium,,,,,,,,,,Loganiaceae,Geniostoma grandifolium,Geniostoma grandifolium,546409-1,546409-1,Species,Manual
34,Geniostoma hallei,Geniostoma,hallei,,,,,,,,,,Loganiaceae,Geniostoma hallei,Geniostoma hallei,546411-1,546411-1,Species,Manual
35,Geniostoma hedyosmifolium,Geniostoma,hedyosmifolium,,,,,,,,,,Loganiaceae,Geniostoma hedyosmifolium,Geniostoma hedyosmifolium,77183885-1,77183885-1,Species,Manual
36,Geniostoma helleri,Geniostoma,helleri,,,,,,,,,,Loganiaceae,Geniostoma helleri,Geniostoma helleri,77183962-1,77183962-1,Species,Manual
37,Geniostoma hirtellum,Geniostoma,hirtellum,,,,,,,,,,Loganiaceae,Geniostoma hirtellum,Geniostoma hirtellum,77184210-1,77184210-1,Species,Manual
38,Geniostoma hosakanum,Geniostoma,hosakanum,,,,,,,,,,Loganiaceae,Geniostoma hosakanum,Geniostoma hosakanum,77183654-1,77183654-1,Species,Manual
39,Geniostoma huttonii,Geniostoma,huttonii,,,,,,,,,,Loganiaceae,Geniostoma huttonii,Geniostoma huttonii,970839-1,970839-1,Species,Manual
40,Geniostoma hymenopodum,Geniostoma,hymenopodum,,,,,,,,,,Loganiaceae,Geniostoma hymenopodum,Geniostoma hymenopodum,77183878-1,77183878-1,Species,Manual
41,Geniostoma imbricatum,Geniostoma,imbricatum,,,,,,,,,,Loganiaceae,Geniostoma imbricatum,Geniostoma imbricatum,77154426-1,77154426-1,Species,Manual
42,Geniostoma kaalae,Geniostoma,kaalae,,,,,,,,,,Loganiaceae,Geniostoma kaalae,Geniostoma kaalae,77122818-1,77122818-1,Species,Manual
43,Geniostoma leenhoutsii,Geniostoma,leenhoutsii,,,,,,,,,,Loganiaceae,Geniostoma leenhoutsii,Geniostoma leenhoutsii,546423-1,546423-1,Species,Manual
44,Geniostoma lorencianum,Geniostoma,lorencianum,,,,,,,,,,Loganiaceae,Geniostoma lorencianum,Geniostoma lorencianum,77184257-1,77184257-1,Species,Manual
