,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
45,Geniostoma lydgatei,Geniostoma,lydgatei,,,,,,,,,,Loganiaceae,Geniostoma lydgatei,Geniostoma lydgatei,77184188-1,77184188-1,Species,Manual
46,Geniostoma macrophyllum,Geniostoma,macrophyllum,,,,,,,,,,Loganiaceae,Geniostoma macrophyllum,Geniostoma macrophyllum,546429-1,546429-1,Species,Manual
47,Geniostoma mooreanum,Geniostoma,mooreanum,,,,,,,,,,Loganiaceae,Geniostoma mooreanum,Geniostoma mooreanum,546436-1,546436-1,Species,Manual
48,Geniostoma novae-caledoniae,Geniostoma,novae-caledoniae,,,,,,,,,,Loganiaceae,Geniostoma novae-caledoniae,Geniostoma novae-caledoniae,546439-1,546439-1,Species,Manual
49,Geniostoma pedunculatum,Geniostoma,pedunculatum,,,,,,,,,,Loganiaceae,Geniostoma pedunculatum,Geniostoma pedunculatum,546448-1,546448-1,Species,Manual
50,Geniostoma petiolosum,Geniostoma,petiolosum,,,,,,,,,,Loganiaceae,Geniostoma petiolosum,Geniostoma petiolosum,546449-1,546449-1,Species,Manual
51,Geniostoma pumilum,Geniostoma,pumilum,,,,,,,,,,Loganiaceae,Geniostoma pumilum,Geniostoma pumilum,77183839-1,77183839-1,Species,Manual
52,Geniostoma randianum,Geniostoma,randianum,,,,,,,,,,Loganiaceae,Geniostoma randianum,Geniostoma randianum,546457-1,546457-1,Species,Manual
53,Geniostoma rapense,Geniostoma,rapense,,,,,,,,,,Loganiaceae,Geniostoma rapense,Geniostoma rapense,546458-1,546458-1,Species,Manual
54,Geniostoma rarotongense,Geniostoma,rarotongense,,,,,,,,,,Loganiaceae,Geniostoma rarotongense,Geniostoma rarotongense,897804-1,897804-1,Species,Manual
55,Geniostoma remyanum,Geniostoma,remyanum,,,,,,,,,,Loganiaceae,Geniostoma remyanum,Geniostoma remyanum,546459-1,546459-1,Species,Manual
56,Geniostoma rupestre,Geniostoma,rupestre,,,,,,,,,,Loganiaceae,Geniostoma rupestre,Geniostoma rupestre,546462-1,546462-1,Species,Manual
57,Geniostoma stipulare,Geniostoma,stipulare,,,,,,,,,,Loganiaceae,Geniostoma stipulare,Geniostoma stipulare,546474-1,546474-1,Species,Manual
58,Geniostoma sykesii,Geniostoma,sykesii,,,,,,,,,,Loganiaceae,Geniostoma sykesii,Geniostoma sykesii,897805-1,897805-1,Species,Manual
59,Geniostoma tinifolium,Geniostoma,tinifolium,,,,,,,,,,Loganiaceae,Geniostoma tinifolium,Geniostoma tinifolium,77183797-1,77183797-1,Species,Manual
60,Geniostoma trichostylum,Geniostoma,trichostylum,,,,,,,,,,Loganiaceae,Geniostoma trichostylum,Geniostoma trichostylum,546476-1,546476-1,Species,Manual
61,Geniostoma triflorum,Geniostoma,triflorum,,,,,,,,,,Loganiaceae,Geniostoma triflorum,Geniostoma triflorum,77184007-1,77184007-1,Species,Manual
62,Geniostoma umbellatum,Geniostoma,umbellatum,,,,,,,,,,Loganiaceae,Geniostoma umbellatum,Geniostoma umbellatum,546477-1,546477-1,Species,Manual
63,Geniostoma venosum,Geniostoma,venosum,,,,,,,,,,Loganiaceae,Geniostoma venosum,Geniostoma venosum,77184074-1,77184074-1,Species,Manual
64,Geniostoma vestitum,Geniostoma,vestitum,,,,,,,,,,Loganiaceae,Geniostoma vestitum,Geniostoma vestitum,546479-1,546479-1,Species,Manual
65,Geniostoma waialealae,Geniostoma,waialealae,,,,,,,,,,Loganiaceae,Geniostoma waialealae,Geniostoma waialealae,77183699-1,77183699-1,Species,Manual
66,Geniostoma waiolani,Geniostoma,waiolani,,,,,,,,,,Loganiaceae,Geniostoma waiolani,Geniostoma waiolani,77184146-1,77184146-1,Species,Manual
67,Geniostoma weinlandii,Geniostoma,weinlandii,,,,,,,,,,Loganiaceae,Geniostoma weinlandii,Geniostoma weinlandii,546482-1,546482-1,Species,Manual
68,Logania albiflora,Logania,albiflora,,,,,,,,,,Loganiaceae,Logania albiflora,Logania albiflora,546584-1,546584-1,Species,Manual
69,Logania archeri,Logania,archeri,,,,,,,,,,Loganiaceae,Logania archeri,Logania archeri,984031-1,984031-1,Species,Manual
70,Logania buxifolia,Logania,buxifolia,,,,,,,,,,Loganiaceae,Logania buxifolia,Logania buxifolia,546589-1,546589-1,Species,Manual
71,Logania cordifolia,Logania,cordifolia,,,,,,,,,,Loganiaceae,Logania cordifolia,Logania cordifolia,546596-1,546596-1,Species,Manual
72,Logania crassifolia,Logania,crassifolia,,,,,,,,,,Loganiaceae,Logania crassifolia,Logania crassifolia,546597-1,546597-1,Species,Manual
73,Logania depressa,Logania,depressa,,,,,,,,,,Loganiaceae,Logania depressa,Logania depressa,546599-1,546599-1,Species,Manual
74,Logania diffusa,Logania,diffusa,,,,,,,,,,Loganiaceae,Logania diffusa,Logania diffusa,906553-1,906553-1,Species,Manual
75,Logania fasciculata,Logania,fasciculata,,,,,,,,,,Loganiaceae,Logania fasciculata,Logania fasciculata,546602-1,546602-1,Species,Manual
76,Logania granitica,Logania,granitica,,,,,,,,,,Loganiaceae,Logania granitica,Logania granitica,77085016-1,77085016-1,Species,Manual
77,Logania insularis,Logania,insularis,,,,,,,,,,Loganiaceae,Logania insularis,Logania insularis,546608-1,546608-1,Species,Manual
78,Logania linifolia,Logania,linifolia,,,,,,,,,,Loganiaceae,Logania linifolia,Logania linifolia,546611-1,546611-1,Species,Manual
79,Logania litoralis,Logania,litoralis,,,,,,,,,,Loganiaceae,Logania litoralis,Logania litoralis,984037-1,984037-1,Species,Manual
80,Logania micrantha,Logania,micrantha,,,,,,,,,,Loganiaceae,Logania micrantha,Logania micrantha,546613-1,546613-1,Species,Manual
81,Logania minor,Logania,minor,,,,,,,,,,Loganiaceae,Logania minor,Logania minor,984033-1,984033-1,Species,Manual
82,Logania nanophylla,Logania,nanophylla,,,,,,,,,,Loganiaceae,Logania nanophylla,Logania nanophylla,984032-1,984032-1,Species,Manual
83,Logania ovata,Logania,ovata,,,,,,,,,,Loganiaceae,Logania ovata,Logania ovata,546617-1,546617-1,Species,Manual
84,Logania perryana,Logania,perryana,,,,,,,,,,Loganiaceae,Logania perryana,Logania perryana,984035-1,984035-1,Species,Manual
85,Logania recurva,Logania,recurva,,,,,,,,,,Loganiaceae,Logania recurva,Logania recurva,546620-1,546620-1,Species,Manual
86,Logania saxatilis,Logania,saxatilis,,,,,,,,,,Loganiaceae,Logania saxatilis,Logania saxatilis,984036-1,984036-1,Species,Manual
87,Logania scabrella,Logania,scabrella,,,,,,,,,,Loganiaceae,Logania scabrella,Logania scabrella,984034-1,984034-1,Species,Manual
88,Logania stenophylla,Logania,stenophylla,,,,,,,,,,Loganiaceae,Logania stenophylla,Logania stenophylla,546624-1,546624-1,Species,Manual
89,Logania sylvicola,Logania,sylvicola,,,,,,,,,,Loganiaceae,Logania sylvicola,Logania sylvicola,77108596-1,77108596-1,Species,Manual
90,Logania vaginalis,Logania,vaginalis,,,,,,,,,,Loganiaceae,Logania vaginalis,Logania vaginalis,546627-1,546627-1,Species,Manual
91,Mitrasacme aggregata,Mitrasacme,aggregata,,,,,,,,,,Loganiaceae,Mitrasacme aggregata,Mitrasacme aggregata,990993-1,990993-1,Species,Manual
92,Mitrasacme albomarginata,Mitrasacme,albomarginata,,,,,,,,,,Loganiaceae,Mitrasacme albomarginata,Mitrasacme albomarginata,546631-1,546631-1,Species,Manual
93,Mitrasacme alsinoides,Mitrasacme,alsinoides,,,,,,,,,,Loganiaceae,Mitrasacme alsinoides,Mitrasacme alsinoides,546632-1,546632-1,Species,Manual
94,Mitrasacme ambigua,Mitrasacme,ambigua,,,,,,,,,,Loganiaceae,Mitrasacme ambigua,Mitrasacme ambigua,546633-1,546633-1,Species,Manual
95,Mitrasacme bogoriensis,Mitrasacme,bogoriensis,,,,,,,,,,Loganiaceae,Mitrasacme bogoriensis,Mitrasacme bogoriensis,546637-1,546637-1,Species,Manual
96,Mitrasacme brachystemonea,Mitrasacme,brachystemonea,,,,,,,,,,Loganiaceae,Mitrasacme brachystemonea,Mitrasacme brachystemonea,546638-1,546638-1,Species,Manual
97,Mitrasacme clarksonii,Mitrasacme,clarksonii,,,,,,,,,,Loganiaceae,Mitrasacme clarksonii,Mitrasacme clarksonii,990991-1,990991-1,Species,Manual
98,Mitrasacme connata,Mitrasacme,connata,,,,,,,,,,Loganiaceae,Mitrasacme connata,Mitrasacme connata,546646-1,546646-1,Species,Manual
99,Mitrasacme elata,Mitrasacme,elata,,,,,,,,,,Loganiaceae,Mitrasacme elata,Mitrasacme elata,546654-1,546654-1,Species,Manual
100,Mitrasacme epigaea,Mitrasacme,epigaea,,,,,,,,,,Loganiaceae,Mitrasacme epigaea,Mitrasacme epigaea,990987-1,990987-1,Species,Manual
101,Mitrasacme erophila,Mitrasacme,erophila,,,,,,,,,,Loganiaceae,Mitrasacme erophila,Mitrasacme erophila,546655-1,546655-1,Species,Manual
102,Mitrasacme exserta,Mitrasacme,exserta,,,,,,,,,,Loganiaceae,Mitrasacme exserta,Mitrasacme exserta,546656-1,546656-1,Species,Manual
103,Mitrasacme floribunda,Mitrasacme,floribunda,,,,,,,,,,Loganiaceae,Mitrasacme floribunda,Mitrasacme floribunda,990989-1,990989-1,Species,Manual
104,Mitrasacme foliosa,Mitrasacme,foliosa,,,,,,,,,,Loganiaceae,Mitrasacme foliosa,Mitrasacme foliosa,546657-1,546657-1,Species,Manual
105,Mitrasacme galbina,Mitrasacme,galbina,,,,,,,,,,Loganiaceae,Mitrasacme galbina,Mitrasacme galbina,990997-1,990997-1,Species,Manual
106,Mitrasacme geniculosa,Mitrasacme,geniculosa,,,,,,,,,,Loganiaceae,Mitrasacme geniculosa,Mitrasacme geniculosa,990995-1,990995-1,Species,Manual
107,Mitrasacme gentianea,Mitrasacme,gentianea,,,,,,,,,,Loganiaceae,Mitrasacme gentianea,Mitrasacme gentianea,546659-1,546659-1,Species,Manual
108,Mitrasacme glaucescens,Mitrasacme,glaucescens,,,,,,,,,,Loganiaceae,Mitrasacme glaucescens,Mitrasacme glaucescens,990981-1,990981-1,Species,Manual
109,Mitrasacme graminea,Mitrasacme,graminea,,,,,,,,,,Loganiaceae,Mitrasacme graminea,Mitrasacme graminea,990978-1,990978-1,Species,Manual
110,Mitrasacme hispida,Mitrasacme,hispida,,,,,,,,,,Loganiaceae,Mitrasacme hispida,Mitrasacme hispida,546661-1,546661-1,Species,Manual
111,Mitrasacme inornata,Mitrasacme,inornata,,,,,,,,,,Loganiaceae,Mitrasacme inornata,Mitrasacme inornata,990992-1,990992-1,Species,Manual
112,Mitrasacme katjarranka,Mitrasacme,katjarranka,,,,,,,,,,Loganiaceae,Mitrasacme katjarranka,Mitrasacme katjarranka,77148781-1,77148781-1,Species,Manual
113,Mitrasacme kenneallyi,Mitrasacme,kenneallyi,,,,,,,,,,Loganiaceae,Mitrasacme kenneallyi,Mitrasacme kenneallyi,990996-1,990996-1,Species,Manual
114,Mitrasacme laevis,Mitrasacme,laevis,,,,,,,,,,Loganiaceae,Mitrasacme laevis,Mitrasacme laevis,546664-1,546664-1,Species,Manual
115,Mitrasacme laricifolia,Mitrasacme,laricifolia,,,,,,,,,,Loganiaceae,Mitrasacme laricifolia,Mitrasacme laricifolia,546665-1,546665-1,Species,Manual
116,Mitrasacme latiflora,Mitrasacme,latiflora,,,,,,,,,,Loganiaceae,Mitrasacme latiflora,Mitrasacme latiflora,546666-1,546666-1,Species,Manual
117,Mitrasacme laxiceps,Mitrasacme,laxiceps,,,,,,,,,,Loganiaceae,Mitrasacme laxiceps,Mitrasacme laxiceps,990999-1,990999-1,Species,Manual
118,Mitrasacme lutea,Mitrasacme,lutea,,,,,,,,,,Loganiaceae,Mitrasacme lutea,Mitrasacme lutea,546669-1,546669-1,Species,Manual
119,Mitrasacme maritima,Mitrasacme,maritima,,,,,,,,,,Loganiaceae,Mitrasacme maritima,Mitrasacme maritima,990994-1,990994-1,Species,Manual
120,Mitrasacme micrantha,Mitrasacme,micrantha,,,,,,,,,,Loganiaceae,Mitrasacme micrantha,Mitrasacme micrantha,546673-1,546673-1,Species,Manual
121,Mitrasacme multicaulis,Mitrasacme,multicaulis,,,,,,,,,,Loganiaceae,Mitrasacme multicaulis,Mitrasacme multicaulis,546675-1,546675-1,Species,Manual
122,Mitrasacme neglecta,Mitrasacme,neglecta,,,,,,,,,,Loganiaceae,Mitrasacme neglecta,Mitrasacme neglecta,546676-1,546676-1,Species,Manual
123,Mitrasacme neldneri,Mitrasacme,neldneri,,,,,,,,,,Loganiaceae,Mitrasacme neldneri,Mitrasacme neldneri,990990-1,990990-1,Species,Manual
124,Mitrasacme nidulifera,Mitrasacme,nidulifera,,,,,,,,,,Loganiaceae,Mitrasacme nidulifera,Mitrasacme nidulifera,990984-1,990984-1,Species,Manual
125,Mitrasacme nudicaulis,Mitrasacme,nudicaulis,,,,,,,,,,Loganiaceae,Mitrasacme nudicaulis,Mitrasacme nudicaulis,546679-1,546679-1,Species,Manual
126,Mitrasacme nummularia,Mitrasacme,nummularia,,,,,,,,,,Loganiaceae,Mitrasacme nummularia,Mitrasacme nummularia,546680-1,546680-1,Species,Manual
127,Mitrasacme oasena,Mitrasacme,oasena,,,,,,,,,,Loganiaceae,Mitrasacme oasena,Mitrasacme oasena,990977-1,990977-1,Species,Manual
128,Mitrasacme paludosa,Mitrasacme,paludosa,,,,,,,,,,Loganiaceae,Mitrasacme paludosa,Mitrasacme paludosa,546681-1,546681-1,Species,Manual
129,Mitrasacme patens,Mitrasacme,patens,,,,,,,,,,Loganiaceae,Mitrasacme patens,Mitrasacme patens,990988-1,990988-1,Species,Manual
130,Mitrasacme phascoides,Mitrasacme,phascoides,,,,,,,,,,Loganiaceae,Mitrasacme phascoides,Mitrasacme phascoides,546686-1,546686-1,Species,Manual
131,Mitrasacme pilosa,Mitrasacme,pilosa,,,,,,,,,,Loganiaceae,Mitrasacme pilosa,Mitrasacme pilosa,546687-1,546687-1,Species,Manual
132,Mitrasacme polymorpha,Mitrasacme,polymorpha,,,,,,,,,,Loganiaceae,Mitrasacme polymorpha,Mitrasacme polymorpha,546689-1,546689-1,Species,Manual
133,Mitrasacme prolifera,Mitrasacme,prolifera,,,,,,,,,,Loganiaceae,Mitrasacme prolifera,Mitrasacme prolifera,546690-1,546690-1,Species,Manual
134,Mitrasacme pygmaea,Mitrasacme,pygmaea,,,,,,,,,,Loganiaceae,Mitrasacme pygmaea,Mitrasacme pygmaea,546693-1,546693-1,Species,Manual
135,Mitrasacme retroloba,Mitrasacme,retroloba,,,,,,,,,,Loganiaceae,Mitrasacme retroloba,Mitrasacme retroloba,990983-1,990983-1,Species,Manual
136,Mitrasacme saxatilis,Mitrasacme,saxatilis,,,,,,,,,,Loganiaceae,Mitrasacme saxatilis,Mitrasacme saxatilis,546695-1,546695-1,Species,Manual
137,Mitrasacme scopata,Mitrasacme,scopata,,,,,,,,,,Loganiaceae,Mitrasacme scopata,Mitrasacme scopata,990985-1,990985-1,Species,Manual
138,Mitrasacme scrithicola,Mitrasacme,scrithicola,,,,,,,,,,Loganiaceae,Mitrasacme scrithicola,Mitrasacme scrithicola,990982-1,990982-1,Species,Manual
139,Mitrasacme secedens,Mitrasacme,secedens,,,,,,,,,,Loganiaceae,Mitrasacme secedens,Mitrasacme secedens,990998-1,990998-1,Species,Manual
140,Mitrasacme serpyllifolia,Mitrasacme,serpyllifolia,,,,,,,,,,Loganiaceae,Mitrasacme serpyllifolia,Mitrasacme serpyllifolia,546696-1,546696-1,Species,Manual
141,Mitrasacme setosa,Mitrasacme,setosa,,,,,,,,,,Loganiaceae,Mitrasacme setosa,Mitrasacme setosa,546697-1,546697-1,Species,Manual
142,Mitrasacme squamigera,Mitrasacme,squamigera,,,,,,,,,,Loganiaceae,Mitrasacme squamigera,Mitrasacme squamigera,990980-1,990980-1,Species,Manual
143,Mitrasacme stellata,Mitrasacme,stellata,,,,,,,,,,Loganiaceae,Mitrasacme stellata,Mitrasacme stellata,546701-1,546701-1,Species,Manual
144,Mitrasacme subvolubilis,Mitrasacme,subvolubilis,,,,,,,,,,Loganiaceae,Mitrasacme subvolubilis,Mitrasacme subvolubilis,546702-1,546702-1,Species,Manual
145,Mitrasacme thedae,Mitrasacme,thedae,,,,,,,,,,Loganiaceae,Mitrasacme thedae,Mitrasacme thedae,77153352-1,77153352-1,Species,Manual
146,Mitrasacme troglodytica,Mitrasacme,troglodytica,,,,,,,,,,Loganiaceae,Mitrasacme troglodytica,Mitrasacme troglodytica,990979-1,990979-1,Species,Manual
147,Mitreola macrophylla,Mitreola,macrophylla,,,,,,,,,,Loganiaceae,Mitreola macrophylla,Mitreola macrophylla,985690-1,985690-1,Species,Manual
148,Mitreola pedicellata,Mitreola,pedicellata,,,,,,,,,,Loganiaceae,Mitreola pedicellata,Mitreola pedicellata,546719-1,546719-1,Species,Manual
149,Mitreola petiolata,Mitreola,petiolata,,,,,,,,,,Loganiaceae,Mitreola petiolata,Mitreola petiolata,546721-1,546721-1,Species,Manual
150,Mitreola petiolatoides,Mitreola,petiolatoides,,,,,,,,,,Loganiaceae,Mitreola petiolatoides,Mitreola petiolatoides,546722-1,546722-1,Species,Manual
151,Mitreola pingtaoi,Mitreola,pingtaoi,,,,,,,,,,Loganiaceae,Mitreola pingtaoi,Mitreola pingtaoi,985689-1,985689-1,Species,Manual
152,Mitreola purpureonervia,Mitreola,purpureonervia,,,,,,,,,,Loganiaceae,Mitreola purpureonervia,Mitreola purpureonervia,985692-1,985692-1,Species,Manual
153,Mitreola reticulata,Mitreola,reticulata,,,,,,,,,,Loganiaceae,Mitreola reticulata,Mitreola reticulata,546723-1,546723-1,Species,Manual
154,Mitreola sessilifolia,Mitreola,sessilifolia,,,,,,,,,,Loganiaceae,Mitreola sessilifolia,Mitreola sessilifolia,30219651-2,30219651-2,Species,Manual
155,Mitreola spathulifolia,Mitreola,spathulifolia,,,,,,,,,,Loganiaceae,Mitreola spathulifolia,Mitreola spathulifolia,985691-1,985691-1,Species,Manual
156,Mitreola sphaerocarpa,Mitreola,sphaerocarpa,,,,,,,,,,Loganiaceae,Mitreola sphaerocarpa,Mitreola sphaerocarpa,546726-1,546726-1,Species,Manual
157,Mitreola turgida,Mitreola,turgida,,,,,,,,,,Loganiaceae,Mitreola turgida,Mitreola turgida,546729-1,546729-1,Species,Manual
158,Mitreola yangchunensis,Mitreola,yangchunensis,,,,,,,,,,Loganiaceae,Mitreola yangchunensis,Mitreola yangchunensis,77105825-1,77105825-1,Species,Manual
159,Neuburgia alata,Neuburgia,alata,,,,,,,,,,Loganiaceae,Neuburgia alata,Neuburgia alata,546784-1,546784-1,Species,Manual
160,Neuburgia celebica,Neuburgia,celebica,,,,,,,,,,Loganiaceae,Neuburgia celebica,Neuburgia celebica,546785-1,546785-1,Species,Manual
161,Neuburgia collina,Neuburgia,collina,,,,,,,,,,Loganiaceae,Neuburgia collina,Neuburgia collina,546786-1,546786-1,Species,Manual
162,Neuburgia corynocarpa,Neuburgia,corynocarpa,,,,,,,,,,Loganiaceae,Neuburgia corynocarpa,Neuburgia corynocarpa,546787-1,546787-1,Species,Manual
163,Neuburgia kochii,Neuburgia,kochii,,,,,,,,,,Loganiaceae,Neuburgia kochii,Neuburgia kochii,546788-1,546788-1,Species,Manual
164,Neuburgia macrocarpa,Neuburgia,macrocarpa,,,,,,,,,,Loganiaceae,Neuburgia macrocarpa,Neuburgia macrocarpa,546789-1,546789-1,Species,Manual
165,Neuburgia macroloba,Neuburgia,macroloba,,,,,,,,,,Loganiaceae,Neuburgia macroloba,Neuburgia macroloba,546790-1,546790-1,Species,Manual
