,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Adelphacme,herb,Adelphacme,,,77154428-1,Genus
1,Antonia,shrub/tree,Antonia,,,30033233-2,Genus
2,Bonyunia,shrub/tree,Bonyunia,,,25034-1,Genus
3,Gardneria,liana/shrub,Gardneria,,,25066-1,Genus
4,Geniostoma,shrub/tree,Geniostoma,,,25069-1,Genus
5,Logania,subshrub,Logania,,,331727-2,Genus
6,Mitrasacme,herb,Mitrasacme,,,25093-1,Genus
7,Mitreola,herb,Mitreola,,,30046707-2,Genus
8,Neuburgia,tree/shrub,Neuburgia,,,2456-1,Genus
9,Norrisia,tree,Norrisia,,,25105-1,Genus
10,Orianthera,herb/shrub,Orianthera,,,77154365-1,Genus
11,Phyllangium,herb,Phyllangium,,,991003-1,Genus
12,Schizacme,subshrub,Schizacme,,,991000-1,Genus
13,Spigelia,herb,Spigelia,,,60434592-2,Genus
14,Strychnos,liana,Strychnos,,,30010060-2,Genus
15,Usteria,liana,Usteria,,,30191635-2,Genus
