,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Strychnos afzelii,"""['Caracurine V', 'Dihydronortoxiferine I']""",KNApSAcK,Strychnos afzelii,Strychnos afzelii,547031-1,547031-1,Species
1,Strychnos amazonica,"""['Dihydronortoxiferine I']""",KNApSAcK,Strychnos amazonica,Strychnos amazonica,247278-2,247278-2,Species
2,Strychnos dolichothyrsa,"""['Caracurine V', 'Dihydronortoxiferine I']""",KNApSAcK,Strychnos dolichothyrsa,Strychnos dolichothyrsa,547167-1,547167-1,Species
3,Strychnos mellodora,"""['Desoxycordifoline']""",KNApSAcK,Strychnos mellodora,Strychnos mellodora,547322-1,547322-1,Species
4,Strychnos toxifera,"""['Caracurine V']""",KNApSAcK,Strychnos toxifera,Strychnos toxifera,547525-1,547525-1,Species
