,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Compiled_Sources
64,547399-1,Strychnos parvifolia,Strychnos parvifolia,547399-1,Species,,['Manual']
65,547420-1,Strychnos potatorum,Strychnos potatorum,547420-1,Species,,['Manual']
66,547425-1,Strychnos pseudoquina,Strychnos pseudoquina,547425-1,Species,,['Manual']
67,547427-1,Strychnos psilosperma,Strychnos psilosperma,547427-1,Species,,['Manual']
68,547430-1,Strychnos pungens,Strychnos pungens,547430-1,Species,,['Manual']
69,547453-1,Strychnos rondeletioides,Strychnos rondeletioides,547453-1,Species,,['Manual']
70,547455-1,Strychnos rubiginosa,Strychnos rubiginosa,547455-1,Species,,['Manual']
71,547459-1,Strychnos samba,Strychnos samba,547459-1,Species,,['Manual']
72,547464-1,Strychnos scheffleri,Strychnos scheffleri,547464-1,Species,,['Manual']
73,247355-2,Strychnos solerederi,Strychnos solerederi,247355-2,Species,,['Manual']
74,547483-1,Strychnos soubrensis,Strychnos soubrensis,547483-1,Species,,['Manual']
75,547485-1,Strychnos spinosa,Strychnos spinosa,547485-1,Species,"""['Strychnine', 'Brucine N-oxide', 'Diaboline', 'Pseudobrucine']""","['Manual', 'KNApSAcK']"
76,547487-1,Strychnos splendens,Strychnos splendens,547487-1,Species,,['Manual']
77,547488-1,Strychnos staudtii,Strychnos staudtii,547488-1,Species,,['Manual']
78,547493-1,Strychnos subcordata,Strychnos subcordata,547493-1,Species,,['Manual']
79,247358-2,Strychnos tabascana,Strychnos tabascana,247358-2,Species,,['Manual']
80,547504-1,Strychnos tchibangensis,Strychnos tchibangensis,547504-1,Species,,['Manual']
81,547525-1,Strychnos toxifera,Strychnos toxifera,547525-1,Species,"""['Caracurine V', 'Macusine B', 'Mavacurine', 'Calebassine', 'Toxiferine I', '10-O-Methylsarpagine', 'iso-Caracurine V']""","['Manual', 'KNApSAcK']"
82,77221793-1,Strychnos trinervis,Strychnos trinervis,77221793-1,Species,,['Manual']
83,547538-1,Strychnos umbellata,Strychnos umbellata,547538-1,Species,,['Manual']
84,547543-1,Strychnos usambarensis,Strychnos usambarensis,547543-1,Species,"""['Usambarensine', 'Usambarine', 'Chrysopentamine', 'Strychnofoline', 'Tetradehydrolongicaudatine Y', ""10'-Hydroxyusambarensine"", 'Isostrychnopentamine', 'Strychnopentamine']""","['Manual', 'KNApSAcK']"
85,547548-1,Strychnos vanprukii,Strychnos vanprukii,547548-1,Species,"""['Akagerine']""","['Manual', 'KNApSAcK']"
86,547549-1,Strychnos variabilis,Strychnos variabilis,547549-1,Species,,['Manual']
87,547566-1,Strychnos wallichiana,Strychnos wallichiana,547566-1,Species,"""['Brucine N-oxide', 'Pseudobrucine', '4-Hydroxystrychnine']""","['Manual', 'KNApSAcK']"
88,547569-1,Strychnos xantha,Strychnos xantha,547569-1,Species,,['Manual']
