,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Compiled_Sources
0,545655-1,Antonia ovata,Antonia ovata,545655-1,Species,,['Manual']
1,546341-1,Gardneria multiflora,Gardneria multiflora,546341-1,Species,,['Manual']
2,546343-1,Gardneria nutans,Gardneria nutans,546343-1,Species,,['Manual']
3,546344-1,Gardneria ovata,Gardneria ovata,546344-1,Species,,['Manual']
4,318920-2,Spigelia anthelmia,Spigelia anthelmia,318920-2,Species,"""['Ryanodine', '9-Hydroxy-10-epi-ryanodine']""","['Manual', 'KNApSAcK']"
5,547024-1,Strychnos aculeata,Strychnos aculeata,547024-1,Species,"""['Brucine']""","['Manual', 'KNApSAcK']"
6,547031-1,Strychnos afzelii,Strychnos afzelii,547031-1,Species,"""['Caracurine V', 'Dihydronortoxiferine I']""","['Manual', 'KNApSAcK']"
7,247278-2,Strychnos amazonica,Strychnos amazonica,247278-2,Species,"""['Dihydronortoxiferine I', 'Macusine B', 'Mavacurine']""","['Manual', 'KNApSAcK']"
8,547038-1,Strychnos angolensis,Strychnos angolensis,547038-1,Species,,['Manual']
9,547039-1,Strychnos angustiflora,Strychnos angustiflora,547039-1,Species,"""['Angustine', 'Angustoline']""","['Manual', 'KNApSAcK']"
10,247281-2,Strychnos atlantica,Strychnos atlantica,247281-2,Species,"""['Strychnine', 'Brucine N-oxide', 'Diaboline', 'Normacusine B', 'Pseudobrucine']""","['Manual', 'KNApSAcK']"
11,247283-2,Strychnos barnhartiana,Strychnos barnhartiana,247283-2,Species,,['Manual']
12,547074-1,Strychnos borneensis,Strychnos borneensis,547074-1,Species,,['Manual']
13,547077-1,Strychnos brachiata,Strychnos brachiata,547077-1,Species,"""['11-Methoxydiaboline']""","['Manual', 'KNApSAcK']"
14,547081-1,Strychnos brasiliensis,Strychnos brasiliensis,547081-1,Species,"""['Strychnobrasiline']""","['Manual', 'KNApSAcK']"
15,547094-1,Strychnos camptoneura,Strychnos camptoneura,547094-1,Species,,['Manual']
16,547100-1,Strychnos castelnaeana,Strychnos castelnaeana,547100-1,Species,,['Manual']
17,547102-1,Strychnos cathayensis,Strychnos cathayensis,547102-1,Species,,['Manual']
18,547109-1,Strychnos chlorantha,Strychnos chlorantha,547109-1,Species,,['Manual']
19,547114-1,Strychnos chrysophylla,Strychnos chrysophylla,547114-1,Species,,['Manual']
20,547149-1,Strychnos dale,Strychnos dale,547149-1,Species,,['Manual']
21,50426037-2,Strychnos decussata,Strychnos decussata,50426037-2,Species,,['Manual']
22,247300-2,Strychnos diaboli,Strychnos diaboli,247300-2,Species,"""['Diaboline']""","['Manual', 'KNApSAcK']"
23,547161-1,Strychnos dinklagei,Strychnos dinklagei,547161-1,Species,,['Manual']
24,547162-1,Strychnos diplotricha,Strychnos diplotricha,547162-1,Species,"""['11-Demethoxymyrtoidine', 'Myrtoidine']""","['Manual', 'KNApSAcK']"
25,247301-2,Strychnos divaricans,Strychnos divaricans,247301-2,Species,"""['Mavacurine', 'Calebassine', 'C-curarine']""","['Manual', 'KNApSAcK']"
26,547167-1,Strychnos dolichothyrsa,Strychnos dolichothyrsa,547167-1,Species,"""['Caracurine V', 'Dihydronortoxiferine I']""","['Manual', 'KNApSAcK']"
27,547178-1,Strychnos elaeocarpa,Strychnos elaeocarpa,547178-1,Species,,['Manual']
28,547183-1,Strychnos erichsonii,Strychnos erichsonii,547183-1,Species,,['Manual']
29,247306-2,Strychnos fendleri,Strychnos fendleri,247306-2,Species,,['Manual']
30,547195-1,Strychnos floribunda,Strychnos floribunda,547195-1,Species,,['Manual']
31,247307-2,Strychnos froesii,Strychnos froesii,247307-2,Species,"""['C-curarine', 'Toxiferine I']""","['Manual', 'KNApSAcK']"
32,547200-1,Strychnos gardneri,Strychnos gardneri,547200-1,Species,,['Manual']
33,547213-1,Strychnos gossweileri,Strychnos gossweileri,547213-1,Species,"""['2,7-Dihydroxyapogeissoschizine']""","['Manual', 'KNApSAcK']"
34,547220-1,Strychnos guianensis,Strychnos guianensis,547220-1,Species,"""['Macusine B', 'Mavacurine', ""5',6'-Dehydroguiachrysine"", 'C-Profluorocurine', 'Fluorocurine', 'Guiachrysine', 'Guiaflavine']""","['Manual', 'KNApSAcK']"
35,547225-1,Strychnos henningsii,Strychnos henningsii,547225-1,Species,,['Manual']
36,547240-1,Strychnos icaja,Strychnos icaja,547240-1,Species,"""['Pseudostrychnine', 'Genostrychnine', 'Protostrychnine', 'Strychnogucine C', 'Strychnohexamine', 'Strychnogucine A', 'Strychnogucine B', '4-Hydroxystrychnine']""","['Manual', 'KNApSAcK']"
37,547242-1,Strychnos ignatii,Strychnos ignatii,547242-1,Species,"""['Brucine', 'Strychnine', '16-Methoxystrychnine']""","['Manual', 'KNApSAcK']"
38,547247-1,Strychnos jobertiana,Strychnos jobertiana,547247-1,Species,,['Manual']
39,547248-1,Strychnos johnsonii,Strychnos johnsonii,547248-1,Species,,['Manual']
40,547252-1,Strychnos kasengaensis,Strychnos kasengaensis,547252-1,Species,,['Manual']
41,547271-1,Strychnos ledermannii,Strychnos ledermannii,547271-1,Species,,['Manual']
42,60452498-2,Strychnos longicaudata,Strychnos longicaudata,60452498-2,Species,,['Manual']
43,547293-1,Strychnos lucens,Strychnos lucens,547293-1,Species,,['Manual']
44,547295-1,Strychnos lucida,Strychnos lucida,547295-1,Species,"""['Brucine', 'Strychnine', 'Brucine N-oxide', 'Diaboline', 'Normacusine B', 'Pseudobrucine', '11-Methoxydiaboline', 'Pseudostrychnine', 'Adenosine', 'alpha-Colubrine', 'beta-Colubrine']""","['Manual', 'KNApSAcK']"
45,547303-1,Strychnos malacoclados,Strychnos malacoclados,547303-1,Species,,['Manual']
46,547312-1,Strychnos matopensis,Strychnos matopensis,547312-1,Species,,['Manual']
47,247325-2,Strychnos mattogrossensis,Strychnos mattogrossensis,247325-2,Species,,['Manual']
48,547320-1,Strychnos melinoniana,Strychnos melinoniana,547320-1,Species,,['Manual']
49,547322-1,Strychnos mellodora,Strychnos mellodora,547322-1,Species,"""['Strictosidine', 'Desoxycordifoline', 'Melinonine F']""","['Manual', 'KNApSAcK']"
50,547339-1,Strychnos minor,Strychnos minor,547339-1,Species,,['Manual']
51,547340-1,Strychnos mitis,Strychnos mitis,547340-1,Species,,['Manual']
52,547341-1,Strychnos mitscherlichii,Strychnos mitscherlichii,547341-1,Species,,['Manual']
53,547342-1,Strychnos moandaensis,Strychnos moandaensis,547342-1,Species,,['Manual']
54,547349-1,Strychnos mostueoides,Strychnos mostueoides,547349-1,Species,,['Manual']
55,547356-1,Strychnos myrtoides,Strychnos myrtoides,547356-1,Species,"""['Strychnobrasiline', '11-Demethoxymyrtoidine', 'Myrtoidine', '12-Hydroxymalagashanine', 'Malagashanine', '12-Hydroxy-19-epimalagashanine']""","['Manual', 'KNApSAcK']"
56,547361-1,Strychnos ngouniensis,Strychnos ngouniensis,547361-1,Species,,['Manual']
57,547367-1,Strychnos nitida,Strychnos nitida,547367-1,Species,"""['Strychnine']""","['Manual', 'KNApSAcK']"
58,547370-1,Strychnos nux-blanda,Strychnos nux-blanda,547370-1,Species,,['Manual']
59,547371-1,Strychnos nux-vomica,Strychnos nux-vomica,547371-1,Species,"""['Brucine', 'Mavacurine', 'Strychnine', 'Normacusine B', 'Pseudobrucine', 'Pseudostrychnine', 'Genostrychnine', 'Protostrychnine', '4-Hydroxystrychnine', 'alpha-Colubrine', 'beta-Colubrine', 'Strictosidine', 'Vomicine', 'Cantleyine', 'Strychnochrysine', '3-Methoxyicajine', 'Isobrucine', 'Isobrucine N-oxide', 'Isostrychnine', 'Isostrychnine N-oxide', '4,21-Dehydrogeissoschizine']""","['Manual', 'KNApSAcK']"
60,547375-1,Strychnos odorata,Strychnos odorata,547375-1,Species,,['Manual']
61,547385-1,Strychnos ovata,Strychnos ovata,547385-1,Species,,['Manual']
62,547390-1,Strychnos panamensis,Strychnos panamensis,547390-1,Species,,['Manual']
63,547392-1,Strychnos panganensis,Strychnos panganensis,547392-1,Species,"""['12-Hydroxy-11-methoxydiaboline', '12-Hydroxy-11-methoxy-N-acetylnor-C-fluorocurarimine', '12-Hydroxy-11-methoxynor-C-fluorocurarine', 'N-Deacetylisoretuline', 'N-Deacetylretuline', 'Panganensine R', 'Panganensine S', 'Panganensine X', 'Panganensine Y']""","['Manual', 'KNApSAcK']"
