,kew_id,native_tdwg3_codes,intro_tdwg3_codes,extinct_tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
15,546343-1,"['CHC', 'CHS', 'JAP', 'KOR', 'NNS', 'TAI']",[],[],Gardneria nutans,546343-1,Species,Gardneria nutans,546343-1
16,546344-1,"['ASS', 'BAN', 'CHC', 'CHS', 'IND', 'JAW', 'LAO', 'MLY', 'MYA', 'SRL', 'SUM', 'THA', 'CHT', 'VIE']",[],[],Gardneria ovata,546344-1,Species,Gardneria ovata,546344-1
17,546360-1,"['MAU', 'REU']",[],[],Geniostoma angustifolium,546360-1,Species,Geniostoma angustifolium,546360-1
18,546361-1,['NWG'],[],[],Geniostoma antherotrichum,546361-1,Species,Geniostoma antherotrichum,546361-1
19,77230903-1,['NWG'],[],[],Geniostoma antherotrichum var. antherotrichum,77230903-1,Variety,Geniostoma antherotrichum,546361-1
20,886534-1,['NWG'],[],[],Geniostoma antherotrichum var. archboldianum,886534-1,Variety,Geniostoma antherotrichum,546361-1
21,546368-1,['NWC'],[],[],Geniostoma balansanum,546368-1,Species,Geniostoma balansanum,546368-1
22,546370-1,['SAM'],[],[],Geniostoma biseriale,546370-1,Species,Geniostoma biseriale,546370-1
23,546371-1,"['MAU', 'REU']",[],[],Geniostoma borbonicum,546371-1,Species,Geniostoma borbonicum,546371-1
24,546375-1,['FIJ'],[],[],Geniostoma calcicola,546375-1,Species,Geniostoma calcicola,546375-1
25,546377-1,['NWC'],[],[],Geniostoma celastrineum,546377-1,Species,Geniostoma celastrineum,546377-1
26,546379-1,['SCI'],[],[],Geniostoma clavatum,546379-1,Species,Geniostoma clavatum,546379-1
27,546388-1,['HAW'],[],[],Geniostoma cyrtandrae,546388-1,Species,Geniostoma cyrtandrae,546388-1
28,77183773-1,['HAW'],[],[],Geniostoma degeneri,77183773-1,Species,Geniostoma degeneri,77183773-1
29,546391-1,"['NWC', 'VAN']",[],[],Geniostoma densiflorum,546391-1,Species,Geniostoma densiflorum,546391-1
30,77230052-1,"['NWC', 'VAN']",[],[],Geniostoma densiflorum var. densiflorum,77230052-1,Variety,Geniostoma densiflorum,546391-1
31,886535-1,['NWC'],[],[],Geniostoma densiflorum var. oleifolium,886535-1,Variety,Geniostoma densiflorum,546391-1
32,546396-1,['NWC'],[],[],Geniostoma erythrospermum,546396-1,Species,Geniostoma erythrospermum,546396-1
33,546397-1,['OGA'],[],[],Geniostoma fagraeoides,546397-1,Species,Geniostoma fagraeoides,546397-1
34,897803-1,['MRQ'],[],[],Geniostoma gagnae,897803-1,Species,Geniostoma gagnae,897803-1
35,77209911-1,['HAW'],[],[],Geniostoma gaudichaudii,77209911-1,Species,Geniostoma gaudichaudii,77209911-1
36,546407-1,['NWC'],[],[],Geniostoma glaucescens,546407-1,Species,Geniostoma glaucescens,546407-1
37,546409-1,['VAN'],[],[],Geniostoma grandifolium,546409-1,Species,Geniostoma grandifolium,546409-1
38,546411-1,['MRQ'],[],[],Geniostoma hallei,546411-1,Species,Geniostoma hallei,546411-1
39,77183885-1,['HAW'],[],[],Geniostoma hedyosmifolium,77183885-1,Species,Geniostoma hedyosmifolium,77183885-1
40,77183962-1,['HAW'],[],[],Geniostoma helleri,77183962-1,Species,Geniostoma helleri,77183962-1
41,77184210-1,['HAW'],[],[],Geniostoma hirtellum,77184210-1,Species,Geniostoma hirtellum,77184210-1
42,77183654-1,['HAW'],[],[],Geniostoma hosakanum,77183654-1,Species,Geniostoma hosakanum,77183654-1
43,970839-1,['NFK'],[],[],Geniostoma huttonii,970839-1,Species,Geniostoma huttonii,970839-1
44,77183878-1,['HAW'],[],[],Geniostoma hymenopodum,77183878-1,Species,Geniostoma hymenopodum,77183878-1
45,77154426-1,['NWC'],[],[],Geniostoma imbricatum,77154426-1,Species,Geniostoma imbricatum,77154426-1
46,77122818-1,['HAW'],[],[],Geniostoma kaalae,77122818-1,Species,Geniostoma kaalae,77122818-1
47,546423-1,"['NWG', 'SOL']",[],[],Geniostoma leenhoutsii,546423-1,Species,Geniostoma leenhoutsii,546423-1
48,77184257-1,['HAW'],[],[],Geniostoma lorencianum,77184257-1,Species,Geniostoma lorencianum,77184257-1
49,77184188-1,['HAW'],[],[],Geniostoma lydgatei,77184188-1,Species,Geniostoma lydgatei,77184188-1
50,546429-1,['FIJ'],[],[],Geniostoma macrophyllum,546429-1,Species,Geniostoma macrophyllum,546429-1
51,546436-1,['NWC'],[],[],Geniostoma mooreanum,546436-1,Species,Geniostoma mooreanum,546436-1
52,546439-1,['NWC'],[],[],Geniostoma novae-caledoniae,546439-1,Species,Geniostoma novae-caledoniae,546439-1
53,546448-1,"['MAU', 'REU']",[],[],Geniostoma pedunculatum,546448-1,Species,Geniostoma pedunculatum,546448-1
54,546449-1,['NFK'],[],[],Geniostoma petiolosum,546449-1,Species,Geniostoma petiolosum,546449-1
55,77183839-1,['HAW'],[],[],Geniostoma pumilum,77183839-1,Species,Geniostoma pumilum,77183839-1
56,546457-1,['NWG'],[],[],Geniostoma randianum,546457-1,Species,Geniostoma randianum,546457-1
57,546458-1,['TUB'],[],[],Geniostoma rapense,546458-1,Species,Geniostoma rapense,546458-1
58,897804-1,['COO'],[],[],Geniostoma rarotongense,897804-1,Species,Geniostoma rarotongense,897804-1
59,546459-1,['HAW'],[],[],Geniostoma remyanum,546459-1,Species,Geniostoma remyanum,546459-1
60,546462-1,"['BIS', 'BOR', 'CRL', 'FIJ', 'JAW', 'LSI', 'MOL', 'MRN', 'NWC', 'NWG', 'NZN', 'NZS', 'NUE', 'PHI', 'PIT', 'QLD', 'SAM', 'SCZ', 'SCI', 'SOL', 'SUL', 'SUM', 'TAI', 'TON', 'TUB', 'VAN', 'WAL']",[],[],Geniostoma rupestre,546462-1,Species,Geniostoma rupestre,546462-1
61,886538-1,['QLD'],[],[],Geniostoma rupestre var. australianum,886538-1,Variety,Geniostoma rupestre,546462-1
62,886540-1,['NWC'],[],[],Geniostoma rupestre var. crassifolium,886540-1,Variety,Geniostoma rupestre,546462-1
63,886543-1,"['CRL', 'FIJ', 'MRN', 'NWC', 'NUE', 'PIT', 'SAM', 'SCZ', 'SCI', 'SOL', 'TON', 'TUB', 'VAN', 'WAL']",[],[],Geniostoma rupestre var. glaberrimum,886543-1,Variety,Geniostoma rupestre,546462-1
64,886544-1,"['CRL', 'MRN']",[],[],Geniostoma rupestre var. hoeferi,886544-1,Variety,Geniostoma rupestre,546462-1
65,77217228-1,"['BOR', 'CRL', 'JAW', 'LSI', 'MOL', 'NWG', 'PHI', 'SUL', 'SUM']",[],[],Geniostoma rupestre var. lasiostemon,77217228-1,Variety,Geniostoma rupestre,546462-1
66,953860-1,"['NZN', 'NZS']",[],[],Geniostoma rupestre var. ligustrifolium,953860-1,Variety,Geniostoma rupestre,546462-1
67,886547-1,['NWG'],[],[],Geniostoma rupestre var. rouffaeranum,886547-1,Variety,Geniostoma rupestre,546462-1
68,77230242-1,"['BIS', 'BOR', 'CRL', 'FIJ', 'JAW', 'LSI', 'MOL', 'MRN', 'NWC', 'NWG', 'PHI', 'SAM', 'SCZ', 'SOL', 'SUL', 'SUM', 'TAI', 'TON', 'VAN', 'WAL']",[],[],Geniostoma rupestre var. rupestre,77230242-1,Variety,Geniostoma rupestre,546462-1
69,886548-1,['SOL'],[],[],Geniostoma rupestre var. solomonense,886548-1,Variety,Geniostoma rupestre,546462-1
70,886549-1,['NWC'],[],[],Geniostoma rupestre var. thymeleaceum,886549-1,Variety,Geniostoma rupestre,546462-1
71,546474-1,['FIJ'],[],[],Geniostoma stipulare,546474-1,Species,Geniostoma stipulare,546474-1
72,897805-1,['COO'],[],[],Geniostoma sykesii,897805-1,Species,Geniostoma sykesii,897805-1
73,77183797-1,['HAW'],[],[],Geniostoma tinifolium,77183797-1,Species,Geniostoma tinifolium,77183797-1
74,77184194-1,['HAW'],[],[],Geniostoma tinifolium var. lanaiense,77184194-1,Variety,Geniostoma tinifolium,77183797-1
75,77233423-1,['HAW'],[],[],Geniostoma tinifolium var. tinifolium,77233423-1,Variety,Geniostoma tinifolium,77183797-1
76,77184260-1,['HAW'],[],[],Geniostoma tinifolium var. wahiawaense,77184260-1,Variety,Geniostoma tinifolium,77183797-1
77,546476-1,['SOL'],[],[],Geniostoma trichostylum,546476-1,Species,Geniostoma trichostylum,546476-1
78,77184007-1,['HAW'],[],[],Geniostoma triflorum,77184007-1,Species,Geniostoma triflorum,77184007-1
79,546477-1,['SOL'],[],[],Geniostoma umbellatum,546477-1,Species,Geniostoma umbellatum,546477-1
80,77184074-1,['HAW'],[],[],Geniostoma venosum,77184074-1,Species,Geniostoma venosum,77184074-1
81,546479-1,['NWC'],[],[],Geniostoma vestitum,546479-1,Species,Geniostoma vestitum,546479-1
82,77183699-1,['HAW'],[],[],Geniostoma waialealae,77183699-1,Species,Geniostoma waialealae,77183699-1
83,77184146-1,['HAW'],[],[],Geniostoma waiolani,77184146-1,Species,Geniostoma waiolani,77184146-1
84,546482-1,['NWG'],[],[],Geniostoma weinlandii,546482-1,Species,Geniostoma weinlandii,546482-1
85,546584-1,"['NSW', 'QLD', 'VIC']",[],[],Logania albiflora,546584-1,Species,Logania albiflora,546584-1
86,984031-1,['WAU'],[],[],Logania archeri,984031-1,Species,Logania archeri,984031-1
87,546589-1,['WAU'],[],[],Logania buxifolia,546589-1,Species,Logania buxifolia,546589-1
88,546596-1,['QLD'],[],[],Logania cordifolia,546596-1,Species,Logania cordifolia,546596-1
89,546597-1,['SOA'],[],[],Logania crassifolia,546597-1,Species,Logania crassifolia,546597-1
90,546599-1,[],[],['NZN'],Logania depressa,546599-1,Species,Logania depressa,546599-1
91,906553-1,['QLD'],[],[],Logania diffusa,906553-1,Species,Logania diffusa,906553-1
92,546602-1,['WAU'],[],[],Logania fasciculata,546602-1,Species,Logania fasciculata,546602-1
93,77085016-1,"['NSW', 'VIC']",[],[],Logania granitica,77085016-1,Species,Logania granitica,77085016-1
94,546608-1,['SOA'],[],[],Logania insularis,546608-1,Species,Logania insularis,546608-1
95,546611-1,"['SOA', 'VIC']",[],[],Logania linifolia,546611-1,Species,Logania linifolia,546611-1
96,984037-1,['WAU'],[],[],Logania litoralis,984037-1,Species,Logania litoralis,984037-1
97,546613-1,['WAU'],[],[],Logania micrantha,546613-1,Species,Logania micrantha,546613-1
98,984033-1,['SOA'],[],[],Logania minor,984033-1,Species,Logania minor,984033-1
99,984032-1,['WAU'],[],[],Logania nanophylla,984032-1,Species,Logania nanophylla,984032-1
100,546617-1,"['SOA', 'VIC']",[],[],Logania ovata,546617-1,Species,Logania ovata,546617-1
101,984035-1,['WAU'],[],[],Logania perryana,984035-1,Species,Logania perryana,984035-1
102,546620-1,"['SOA', 'VIC']",[],[],Logania recurva,546620-1,Species,Logania recurva,546620-1
103,984036-1,['SOA'],[],[],Logania saxatilis,984036-1,Species,Logania saxatilis,984036-1
104,984034-1,['SOA'],[],[],Logania scabrella,984034-1,Species,Logania scabrella,984034-1
105,546624-1,['WAU'],[],[],Logania stenophylla,546624-1,Species,Logania stenophylla,546624-1
106,77108596-1,['WAU'],[],[],Logania sylvicola,77108596-1,Species,Logania sylvicola,77108596-1
107,546627-1,"['SOA', 'WAU']",[],[],Logania vaginalis,546627-1,Species,Logania vaginalis,546627-1
108,990993-1,['NTA'],[],[],Mitrasacme aggregata,990993-1,Species,Mitrasacme aggregata,990993-1
109,546631-1,"['NWG', 'NTA', 'QLD']",[],[],Mitrasacme albomarginata,546631-1,Species,Mitrasacme albomarginata,546631-1
110,546632-1,"['NSW', 'QLD']",[],[],Mitrasacme alsinoides,546632-1,Species,Mitrasacme alsinoides,546632-1
111,546633-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme ambigua,546633-1,Species,Mitrasacme ambigua,546633-1
112,546637-1,['JAW'],[],[],Mitrasacme bogoriensis,546637-1,Species,Mitrasacme bogoriensis,546637-1
113,546638-1,['QLD'],[],[],Mitrasacme brachystemonea,546638-1,Species,Mitrasacme brachystemonea,546638-1
114,990991-1,['QLD'],[],[],Mitrasacme clarksonii,990991-1,Species,Mitrasacme clarksonii,990991-1
115,546646-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme connata,546646-1,Species,Mitrasacme connata,546646-1
116,546654-1,"['NWG', 'NTA']",[],[],Mitrasacme elata,546654-1,Species,Mitrasacme elata,546654-1
117,990987-1,"['NTA', 'WAU']",[],[],Mitrasacme epigaea,990987-1,Species,Mitrasacme epigaea,990987-1
118,546655-1,"['ASS', 'CBD', 'JAW', 'LAO', 'LSI', 'THA', 'VIE']",[],[],Mitrasacme erophila,546655-1,Species,Mitrasacme erophila,546655-1
119,77224234-1,[],[],[],Mitrasacme erophila subsp. erophila,77224234-1,Subspecies,Mitrasacme erophila,546655-1
120,982476-1,"['NTA', 'QLD', 'THA', 'WAU']",[],[],Mitrasacme erophila subsp. grandiflora,982476-1,Subspecies,Mitrasacme erophila,546655-1
121,546656-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme exserta,546656-1,Species,Mitrasacme exserta,546656-1
122,990989-1,['NTA'],[],[],Mitrasacme floribunda,990989-1,Species,Mitrasacme floribunda,990989-1
123,546657-1,['WAU'],[],[],Mitrasacme foliosa,546657-1,Species,Mitrasacme foliosa,546657-1
124,990997-1,['WAU'],[],[],Mitrasacme galbina,990997-1,Species,Mitrasacme galbina,990997-1
125,990995-1,['NTA'],[],[],Mitrasacme geniculosa,990995-1,Species,Mitrasacme geniculosa,990995-1
126,546659-1,"['NTA', 'WAU']",[],[],Mitrasacme gentianea,546659-1,Species,Mitrasacme gentianea,546659-1
127,990981-1,['NTA'],[],[],Mitrasacme glaucescens,990981-1,Species,Mitrasacme glaucescens,990981-1
128,990978-1,['WAU'],[],[],Mitrasacme graminea,990978-1,Species,Mitrasacme graminea,990978-1
129,546661-1,['WAU'],[],[],Mitrasacme hispida,546661-1,Species,Mitrasacme hispida,546661-1
130,990992-1,"['NWG', 'NTA', 'QLD']",[],[],Mitrasacme inornata,990992-1,Species,Mitrasacme inornata,990992-1
131,77148781-1,['WAU'],[],[],Mitrasacme katjarranka,77148781-1,Species,Mitrasacme katjarranka,77148781-1
132,990996-1,['WAU'],[],[],Mitrasacme kenneallyi,990996-1,Species,Mitrasacme kenneallyi,990996-1
133,546664-1,"['NTA', 'WAU']",[],[],Mitrasacme laevis,546664-1,Species,Mitrasacme laevis,546664-1
134,546665-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme laricifolia,546665-1,Species,Mitrasacme laricifolia,546665-1
135,546666-1,['NTA'],[],[],Mitrasacme latiflora,546666-1,Species,Mitrasacme latiflora,546666-1
136,990999-1,['WAU'],[],[],Mitrasacme laxiceps,990999-1,Species,Mitrasacme laxiceps,990999-1
137,546669-1,"['NTA', 'WAU']",[],[],Mitrasacme lutea,546669-1,Species,Mitrasacme lutea,546669-1
138,990994-1,['QLD'],[],[],Mitrasacme maritima,990994-1,Species,Mitrasacme maritima,990994-1
139,546673-1,"['NTA', 'PHI', 'QLD', 'WAU']",[],[],Mitrasacme micrantha,546673-1,Species,Mitrasacme micrantha,546673-1
140,546675-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme multicaulis,546675-1,Species,Mitrasacme multicaulis,546675-1
141,546676-1,"['JAW', 'LSI', 'NWG', 'SUL']",[],[],Mitrasacme neglecta,546676-1,Species,Mitrasacme neglecta,546676-1
142,990990-1,['QLD'],[],[],Mitrasacme neldneri,990990-1,Species,Mitrasacme neldneri,990990-1
143,990984-1,"['NTA', 'QLD', 'THA', 'WAU']",[],[],Mitrasacme nidulifera,990984-1,Species,Mitrasacme nidulifera,990984-1
144,546679-1,"['CRL', 'LSI', 'NWG', 'NTA', 'QLD', 'WAU']",[],[],Mitrasacme nudicaulis,546679-1,Species,Mitrasacme nudicaulis,546679-1
145,990986-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme nudicaulis var. citrina,990986-1,Variety,Mitrasacme nudicaulis,546679-1
146,77223896-1,"['CRL', 'LSI', 'NWG', 'NTA', 'QLD', 'WAU']",[],[],Mitrasacme nudicaulis var. nudicaulis,77223896-1,Variety,Mitrasacme nudicaulis,546679-1
147,546680-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme nummularia,546680-1,Species,Mitrasacme nummularia,546680-1
148,990977-1,['QLD'],[],[],Mitrasacme oasena,990977-1,Species,Mitrasacme oasena,990977-1
149,546681-1,"['NSW', 'QLD']",[],[],Mitrasacme paludosa,546681-1,Species,Mitrasacme paludosa,546681-1
150,990988-1,"['NTA', 'QLD']",[],[],Mitrasacme patens,990988-1,Species,Mitrasacme patens,990988-1
151,546686-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme phascoides,546686-1,Species,Mitrasacme phascoides,546686-1
152,546687-1,"['NSW', 'TAS', 'VIC']",[],[],Mitrasacme pilosa,546687-1,Species,Mitrasacme pilosa,546687-1
153,51770-3,"['NSW', 'TAS', 'VIC']",[],[],Mitrasacme pilosa var. pilosa,51770-3,Variety,Mitrasacme pilosa,546687-1
154,51799-3,"['NSW', 'TAS', 'VIC']",[],[],Mitrasacme pilosa var. stuartii,51799-3,Variety,Mitrasacme pilosa,546687-1
155,546689-1,"['NSW', 'NTA', 'QLD', 'VIC', 'WAU']",[],[],Mitrasacme polymorpha,546689-1,Species,Mitrasacme polymorpha,546689-1
156,546690-1,"['ASS', 'BAN', 'CHN', 'CHS', 'CHH', 'IND', 'JAP', 'JAW', 'KOR', 'LSI', 'MLY', 'MYA', 'NNS', 'NWG', 'NTA', 'PHI', 'PRM', 'QLD', 'SRL', 'SUL', 'SUM', 'TAI', 'THA', 'VIE']",[],[],Mitrasacme prolifera,546690-1,Species,Mitrasacme prolifera,546690-1
157,546693-1,"['BOR', 'CBD', 'CRL', 'CHC', 'CHS', 'CHH', 'IND', 'JAP', 'JAW', 'KOR', 'LSI', 'MLY', 'MOL', 'MYA', 'NNS', 'NEP', 'NWC', 'NWG', 'NTA', 'PHI', 'QLD', 'SUL', 'SUM', 'TAI', 'THA', 'VIE']",[],[],Mitrasacme pygmaea,546693-1,Species,Mitrasacme pygmaea,546693-1
158,886551-1,"['CBD', 'CHS', 'VIE']",[],[],Mitrasacme pygmaea var. confertifolia,886551-1,Variety,Mitrasacme pygmaea,546693-1
159,52183-3,"['BOR', 'CBD', 'CRL', 'CHC', 'CHS', 'CHH', 'IND', 'JAP', 'JAW', 'KOR', 'LSI', 'MLY', 'MOL', 'MYA', 'NNS', 'NEP', 'NWC', 'NWG', 'NSW', 'NTA', 'PHI', 'QLD', 'SUL', 'SUM', 'TAI', 'THA', 'VIE']",[],[],Mitrasacme pygmaea var. pygmaea,52183-3,Variety,Mitrasacme pygmaea,546693-1
160,990983-1,"['NTA', 'WAU']",[],[],Mitrasacme retroloba,990983-1,Species,Mitrasacme retroloba,990983-1
161,546695-1,['JAW'],[],[],Mitrasacme saxatilis,546695-1,Species,Mitrasacme saxatilis,546695-1
162,990985-1,['WAU'],[],[],Mitrasacme scopata,990985-1,Species,Mitrasacme scopata,990985-1
163,990982-1,"['NTA', 'WAU']",[],[],Mitrasacme scrithicola,990982-1,Species,Mitrasacme scrithicola,990982-1
164,990998-1,['NTA'],[],[],Mitrasacme secedens,990998-1,Species,Mitrasacme secedens,990998-1
165,546696-1,"['NSW', 'TAS', 'VIC']",[],[],Mitrasacme serpyllifolia,546696-1,Species,Mitrasacme serpyllifolia,546696-1
166,546697-1,"['CBD', 'VIE']",[],[],Mitrasacme setosa,546697-1,Species,Mitrasacme setosa,546697-1
167,990980-1,"['NTA', 'QLD']",[],[],Mitrasacme squamigera,990980-1,Species,Mitrasacme squamigera,990980-1
168,546701-1,"['NTA', 'QLD', 'WAU']",[],[],Mitrasacme stellata,546701-1,Species,Mitrasacme stellata,546701-1
169,546702-1,"['NTA', 'WAU']",[],[],Mitrasacme subvolubilis,546702-1,Species,Mitrasacme subvolubilis,546702-1
170,77153352-1,['WAU'],[],[],Mitrasacme thedae,77153352-1,Species,Mitrasacme thedae,77153352-1
171,990979-1,['NTA'],[],[],Mitrasacme troglodytica,990979-1,Species,Mitrasacme troglodytica,990979-1
172,985690-1,['CHS'],[],[],Mitreola macrophylla,985690-1,Species,Mitreola macrophylla,985690-1
173,546719-1,"['CHC', 'CHS', 'EHM', 'NEP']",[],[],Mitreola pedicellata,546719-1,Species,Mitreola pedicellata,546719-1
174,546721-1,"['ALA', 'ARK', 'BAH', 'BLZ', 'BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FLA', 'FRG', 'GEO', 'GUA', 'HAI', 'HON', 'KTY', 'LEE', 'LOU', 'MXC', 'MXG', 'MXE', 'MXN', 'MXT', 'MXS', 'MSI', 'MSO', 'NIC', 'NCA', 'OKL', 'PAN', 'PER', 'PUE', 'SCA', 'SUR', 'TEN', 'TEX', 'TRT', 'VEN', 'VRG', 'WIN']","['AND', 'ASS', 'BAN', 'CBD', 'CMN', 'CRL', 'CHC', 'CHS', 'EHM', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MYA', 'NEP', 'NWG', 'NTA', 'OMA', 'PHI', 'SEN', 'SUL', 'SUM', 'THA', 'TOG', 'VIE']",[],Mitreola petiolata,546721-1,Species,Mitreola petiolata,546721-1
175,546722-1,['CHC'],[],[],Mitreola petiolatoides,546722-1,Species,Mitreola petiolatoides,546722-1
176,985689-1,['CHS'],[],[],Mitreola pingtaoi,985689-1,Species,Mitreola pingtaoi,985689-1
177,985692-1,['CHS'],[],[],Mitreola purpureonervia,985692-1,Species,Mitreola purpureonervia,985692-1
178,546723-1,"['CHS', 'VIE']",[],[],Mitreola reticulata,546723-1,Species,Mitreola reticulata,546723-1
179,30219651-2,"['ALA', 'ARK', 'BAH', 'FLA', 'GEO', 'LOU', 'MSI', 'NWM', 'NCA', 'OKL', 'SCA', 'TEX', 'VRG']",[],[],Mitreola sessilifolia,30219651-2,Species,Mitreola sessilifolia,30219651-2
180,985691-1,['CHS'],[],[],Mitreola spathulifolia,985691-1,Species,Mitreola spathulifolia,985691-1
181,546726-1,['BOR'],[],[],Mitreola sphaerocarpa,546726-1,Species,Mitreola sphaerocarpa,546726-1
182,546729-1,['MDG'],[],[],Mitreola turgida,546729-1,Species,Mitreola turgida,546729-1
183,77105825-1,['CHS'],[],[],Mitreola yangchunensis,77105825-1,Species,Mitreola yangchunensis,77105825-1
184,546784-1,['FIJ'],[],[],Neuburgia alata,546784-1,Species,Neuburgia alata,546784-1
185,546785-1,"['BIS', 'CRL', 'MOL', 'NWG', 'PHI', 'SOL', 'SUL']",[],[],Neuburgia celebica,546785-1,Species,Neuburgia celebica,546785-1
186,546786-1,['FIJ'],[],[],Neuburgia collina,546786-1,Species,Neuburgia collina,546786-1
187,546787-1,"['BIS', 'FIJ', 'MOL', 'NWG', 'SOL', 'VAN']",[],[],Neuburgia corynocarpa,546787-1,Species,Neuburgia corynocarpa,546787-1
188,77224650-1,"['BIS', 'FIJ', 'MOL', 'NWG', 'SOL', 'VAN']",[],[],Neuburgia corynocarpa var. corynocarpa,77224650-1,Variety,Neuburgia corynocarpa,546787-1
189,886552-1,['NWG'],[],[],Neuburgia corynocarpa var. sarcantha,886552-1,Variety,Neuburgia corynocarpa,546787-1
190,546788-1,['NWG'],[],[],Neuburgia kochii,546788-1,Species,Neuburgia kochii,546788-1
191,546789-1,['FIJ'],[],[],Neuburgia macrocarpa,546789-1,Species,Neuburgia macrocarpa,546789-1
192,546790-1,['FIJ'],[],[],Neuburgia macroloba,546790-1,Species,Neuburgia macroloba,546790-1
193,546791-1,['MOL'],[],[],Neuburgia moluccana,546791-1,Species,Neuburgia moluccana,546791-1
194,77061619-1,"['NWC', 'VAN']",[],[],Neuburgia novocaledonica,77061619-1,Species,Neuburgia novocaledonica,77061619-1
195,546793-1,['NWG'],[],[],Neuburgia rumphiana,546793-1,Species,Neuburgia rumphiana,546793-1
196,80480-1,['MOL'],[],[],Neuburgia tuberculata,80480-1,Species,Neuburgia tuberculata,80480-1
197,80481-1,['NWG'],[],[],Neuburgia tubiflora,80481-1,Species,Neuburgia tubiflora,80481-1
198,60466948-2,"['BOR', 'MLY', 'PHI', 'SUM']",[],[],Norrisia major,60466948-2,Species,Norrisia major,60466948-2
199,546804-1,"['MLY', 'PHI', 'SUM']",[],[],Norrisia malaccensis,546804-1,Species,Norrisia malaccensis,546804-1
200,77154367-1,['WAU'],[],[],Orianthera biloba,77154367-1,Species,Orianthera biloba,77154367-1
201,77154368-1,['WAU'],[],[],Orianthera callosa,77154368-1,Species,Orianthera callosa,77154368-1
202,77154366-1,['WAU'],[],[],Orianthera campanulata,77154366-1,Species,Orianthera campanulata,77154366-1
203,77154369-1,"['NTA', 'WAU']",[],[],Orianthera centralis,77154369-1,Species,Orianthera centralis,77154369-1
204,77154370-1,['WAU'],[],[],Orianthera exilis,77154370-1,Species,Orianthera exilis,77154370-1
205,77154371-1,['WAU'],[],[],Orianthera flaviflora,77154371-1,Species,Orianthera flaviflora,77154371-1
206,77154372-1,['WAU'],[],[],Orianthera judithiana,77154372-1,Species,Orianthera judithiana,77154372-1
207,77154373-1,"['NSW', 'SOA', 'VIC', 'WAU']",[],[],Orianthera nuda,77154373-1,Species,Orianthera nuda,77154373-1
208,77154374-1,"['NSW', 'QLD', 'VIC']",[],[],Orianthera pusilla,77154374-1,Species,Orianthera pusilla,77154374-1
209,77154375-1,['WAU'],[],[],Orianthera serpyllifolia,77154375-1,Species,Orianthera serpyllifolia,77154375-1
