,kew_id,native_tdwg3_codes,intro_tdwg3_codes,extinct_tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
0,77154429-1,['WAU'],[],[],Adelphacme minima,77154429-1,Species,Adelphacme minima,77154429-1
1,545655-1,"['BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN']",[],[],Antonia ovata,545655-1,Species,Antonia ovata,545655-1
2,545660-1,"['BOL', 'BZN', 'BZC']",[],[],Bonyunia antoniifolia,545660-1,Species,Bonyunia antoniifolia,545660-1
3,34787-2,"['BZN', 'CLM', 'VEN']",[],[],Bonyunia aquatica,34787-2,Species,Bonyunia aquatica,34787-2
4,77104860-1,['CLM'],[],[],Bonyunia excelsa,77104860-1,Species,Bonyunia excelsa,77104860-1
5,77104861-1,['BZN'],[],[],Bonyunia magnifica,77104861-1,Species,Bonyunia magnifica,77104861-1
6,34789-2,"['BZN', 'GUY', 'VEN']",[],[],Bonyunia minor,34789-2,Species,Bonyunia minor,34789-2
7,77104862-1,['CLM'],[],[],Bonyunia nobilis,77104862-1,Species,Bonyunia nobilis,77104862-1
8,77104863-1,['PER'],[],[],Bonyunia pulchra,77104863-1,Species,Bonyunia pulchra,77104863-1
9,77104864-1,['GUY'],[],[],Bonyunia spectabilis,77104864-1,Species,Bonyunia spectabilis,77104864-1
10,545664-1,"['GUY', 'VEN']",[],[],Bonyunia superba,545664-1,Species,Bonyunia superba,545664-1
11,77104865-1,['BZN'],[],[],Bonyunia venusta,77104865-1,Species,Bonyunia venusta,77104865-1
12,546332-1,"['ASS', 'BAN', 'CHC', 'EHM', 'NEP', 'WHM']",[],[],Gardneria angustifolia,546332-1,Species,Gardneria angustifolia,546332-1
13,546339-1,"['CHC', 'CHS']",[],[],Gardneria lanceolata,546339-1,Species,Gardneria lanceolata,546339-1
14,546341-1,"['CHN', 'CHC', 'CHS', 'JAP', 'TAI']",[],[],Gardneria multiflora,546341-1,Species,Gardneria multiflora,546341-1
