,Unnamed: 0,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,0,Adelphacme,hb,Adelphacme,,,77154428-1,Genus
1,1,Antonia,sh/tr,Antonia,,,30033233-2,Genus
2,2,Bonyunia,sh/tr,Bonyunia,,,25034-1,Genus
3,3,Gardneria,li/sh,Gardneria,,,25066-1,Genus
4,4,Geniostoma,sh/tr,Geniostoma,,,25069-1,Genus
5,5,Logania,subsh,Logania,,,331727-2,Genus
6,6,Mitrasacme,hb,Mitrasacme,,,25093-1,Genus
7,7,Mitreola,hb,Mitreola,,,30046707-2,Genus
8,8,Neuburgia,tr/sh,Neuburgia,,,2456-1,Genus
9,9,Norrisia,tr,Norrisia,,,25105-1,Genus
10,10,Orianthera,hb/sh,Orianthera,,,77154365-1,Genus
11,11,Phyllangium,hb,Phyllangium,,,991003-1,Genus
12,12,Schizacme,subsh,Schizacme,,,991000-1,Genus
13,13,Spigelia,hb,Spigelia,,,60434592-2,Genus
14,14,Strychnos,li,Strychnos,,,30010060-2,Genus
15,15,Usteria,li,Usteria,,,30191635-2,Genus
