,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
0,547572-1,Strychnos xylophylla,Strychnos xylophylla,547572-1,Species, <b>Appearance</b>: Glabrous shrub with neither <em>spines</em> nor tendrils.,,['POWO pages(/taxon/urn:lsid:ipni.org:names:547572-1)']
1,547073-1,Strychnos boonei,Strychnos boonei,547073-1,Species, <b>Appearance</b>: Scandent shrub without <em>spines</em>.,,['POWO pages(/taxon/urn:lsid:ipni.org:names:547073-1)']
2,547225-1,Strychnos henningsii,Strychnos henningsii,547225-1,Species," <b>Appearance</b>: , with a spreading rounded crown and neither <em>spines</em> nor tendrils.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547225-1)']
3,50426037-2,Strychnos decussata,Strychnos decussata,50426037-2,Species, <b>Appearance</b>:  <em>spines</em> nor tendrils.,,['POWO pages(/taxon/urn:lsid:ipni.org:names:50426037-2)']
4,10017-1,Metalasia,nan,nan,Genus,,Spinescence / thorniness:no,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
5,1002454-1,Elaeodendron transvaalense,Elaeodendron transvaalense,1002454-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
6,100502-1,Periploca sepium,Periploca sepium,100502-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
7,1007111-1,Balakata baccata,Balakata baccata,1007111-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
8,1008517-1,Silene banksia,Silene banksia,1008517-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
9,1013748-2,Crepidiastrum denticulatum,Crepidiastrum denticulatum,1013748-2,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
