,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
10,1013771-1,Philenoptera violacea,Philenoptera violacea,1013771-1,Species,,Spinescence / thorniness:0,"['TRY (Joseph, G.S., Seymour, C.L., Cumming, G.S., Cumming, D.H.M., & Mahlangu, Z. 2014. Termite mounds increase functional diversity of woody plants in African savannas. Ecosystems 17: 808\x96819.)']"
11,1014622-1,Hylodesmum podocarpum,Hylodesmum podocarpum,1014622-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
12,1014623-1,Hylodesmum podocarpum subsp. fallax,Hylodesmum podocarpum,1014622-1,Subspecies,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
13,1014625-1,Hylodesmum podocarpum subsp. oxyphyllum,Hylodesmum podocarpum,1014622-1,Subspecies,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
14,1020126-1,Orophea creaghii,Orophea creaghii,1020126-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
15,1020686-1,Aganope stuhlmannii,Aganope stuhlmannii,1020686-1,Species,,Spinescence / thorniness:0,"['TRY (Joseph, G.S., Seymour, C.L., Cumming, G.S., Cumming, D.H.M., & Mahlangu, Z. 2014. Termite mounds increase functional diversity of woody plants in African savannas. Ecosystems 17: 808\x96819.)']"
16,1026660-2,Puccinellia distans,Puccinellia distans,1026660-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
17,102983-1,Vincetoxicum sibiricum,Vincetoxicum sibiricum,102983-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
18,10323-1,Osteospermum,nan,nan,Genus,,Spinescence / thorniness:no,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
19,103354-2,Fallopia convolvulus,Fallopia convolvulus,103354-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
20,1034036-2,Sorbaria sorbifolia,Sorbaria sorbifolia,1034036-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no,Thorns elsewhere:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
21,103927-1,Impatiens rubrostriata,Impatiens rubrostriata,103927-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
22,106778-1,Berberis integerrima,Berberis integerrima,106778-1,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
23,10698-2,Amaranthus retroflexus,Amaranthus retroflexus,10698-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
24,107232-1,Caulophyllum robustum,Caulophyllum robustum,107232-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
25,107611-1,Stauntonia angustifolia,Stauntonia angustifolia,107611-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no,Thorns elsewhere:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
26,107613-1,Stauntonia chinensis,Stauntonia chinensis,107613-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
27,1083034-2,Tetraria thermalis,Tetraria thermalis,1083034-2,Species,,Spinescence / thorniness:no,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
28,1084305-2,Tragus racemosus,Tragus racemosus,1084305-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
29,109269-2,Geranium robertianum,Geranium robertianum,109269-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
30,1104599-2,Eragrostis cilianensis,Eragrostis cilianensis,1104599-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
31,110522-1,Radermachera sinica,Radermachera sinica,110522-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
32,110809-1,Stereospermum tetragonum,Stereospermum tetragonum,110809-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
33,1113636-2,Teloxys aristata,Teloxys aristata,1113636-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
34,1115100-2,Acystopteris japonica,Acystopteris japonica,1115100-2,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
35,11170-1,Stoebe,nan,nan,Genus,,Spinescence / thorniness:no,"['TRY (Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331\x96340 DOI:10.1016/j.ppees.2014.08.002)']"
36,112018-1,Rawsonia lucida,Rawsonia lucida,112018-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
37,112092-1,Scolopia zeyheri,Scolopia zeyheri,112092-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
38,112183-1,Xylotheca kraussiana,Xylotheca kraussiana,112183-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
39,1126736-2,Dontostemon integrifolius,Dontostemon integrifolius,1126736-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
40,113462-1,Arnebia guttata,Arnebia guttata,113462-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
41,113713-1,Brachybotrys paridiformis,Brachybotrys paridiformis,113713-1,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
42,113724-1,Buglossoides arvensis,Buglossoides arvensis,113724-1,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
43,1137625-2,Eruca vesicaria,Eruca vesicaria,1137625-2,Species,,Spinescence / thorniness:Absence,"[""TRY (Frenette-Dussault, C., Shipley, B., Léger, J.F., Meziane, D. & Hingrat, Y. (2012). Functional structure of an arid steppe plant community reveals similarities with Grime's C-S-R theory. Journal of Vegetation Science 23: 208-222.)""]"
44,114017-1,Cordia caffra,Cordia caffra,114017-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
45,115104-1,Cynoglossum divaricatum,Cynoglossum divaricatum,115104-1,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
46,1153665-2,Elymus pungens,Elymus pungens,1153665-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
47,1159940-2,Luzula multiflora,Luzula multiflora,1159940-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
48,1160435-2,Cibotium barometz,Cibotium barometz,1160435-2,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
49,116109-1,Ehretia rigida,Ehretia rigida,116109-1,Species,,Thorn / spine length:0mm,"['TRY (van der Plas, F. & Olff, H. (2014) Mesoherbivores affect grasshopper communities in a megaherbivore-dominated South African savannah. Oecologia 175: 639. doi:10.1007/s00442-014-2920-z)']"
50,1171009-2,Setaria viridis,Setaria viridis,1171009-2,Species,,"Leaf Spines: lower:no,Leaf Spines: marginal:no,Leaf Spines: midrib/veins:no,Leaf Spines: terminal:no,Leaf spines: upper:no,Leaf spines:no,Leaf thorn:no,Other spines/thorns:no,Stem spiny:no,Stem thorny:no","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
51,117484-1,Lappula barbata,Lappula barbata,117484-1,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
52,1176324-2,Alliaria petiolata,Alliaria petiolata,1176324-2,Species,,Thorn / spine length:0mm,"['TRY (Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.)']"
53,118241-3,Cajanus scarabaeoides,Cajanus scarabaeoides,118241-3,Species,,"Leaf spines:no,Leaf thorn:no,Stem spiny:no,Stem thorny:no","['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
