,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,kg_all
0,Geniostoma antherotrichum,Geniostoma antherotrichum,546361-1,546361-1,Species,16.7311248779297,39.1782493591309,17.050624847412102,15.7440004348755,3841.5738525390652,24.2800006866455,1235.51525878906,651.558746337891,1683.08581542969,1872.6449584960951,8.57543182373047,493.41667175292946,52.7916660308838,732.635437011719,1053.25,117.3125,31.625,-6.083333,145.083,15,"[15, 1, 29, 2]"
1,Geniostoma antherotrichum var. antherotrichum,Geniostoma antherotrichum,546361-1,77230903-1,Variety,17.320750236511252,53.3392505645752,17.8459997177124,16.60987520217895,3172.94384765625,20.08962535858155,950.5077209472655,661.434997558594,1668.725769042965,1746.2274780273451,7.80858039855957,444.58332824707054,52.6666660308838,756.2083435058595,1253.0,113.125,30.15625,-6.666667,146.666667,1,"[1, 15]"
2,Geniostoma antherotrichum var. archboldianum,Geniostoma antherotrichum,546361-1,886534-1,Variety,18.8964996337891,52.6592483520508,19.3417491912842,18.1065006256104,6553.5,14.7379999160767,3028.89233398438,2146.2861328125,1130.30187988281,1469.77746582031,11.371319770813,548.270812988281,51.2708320617676,1000.0625,1027.25,126.25,34.75,-4.25,137.02,15,"[15, 29]"
3,Geniostoma densiflorum,Geniostoma densiflorum,546391-1,546391-1,Species,21.9492492675781,211.768997192383,24.6280002593994,19.2417507171631,1608.62670898438,43.036750793457,693.287231445312,226.372253417969,222.847640991211,202.722503662109,4.05791759490967,240.972229003906,53.1555557250977,427.0,1026.875,67.8181838989258,23.5625,-22.06889,166.38528,1,"[1, 14, 3, 0]"
4,Geniostoma densiflorum var. oleifolium,Geniostoma densiflorum,546391-1,886535-1,Variety,22.5332508087158,193.432754516602,24.9932498931885,20.023250579834,1599.28271484375,47.0429992675781,693.287231445312,206.970001220703,441.149597167969,107.597503662109,3.13041067123413,267.848480224609,53.7272720336914,440.25,582.75,71.2727279663086,24.375,-21.666667,166.216667,14,[14]
5,Geniostoma rupestre var. ligustrifolium,Geniostoma rupestre,546462-1,953860-1,Variety,13.2422504425049,306.938262939453,17.142749786377,9.40900039672852,1719.11474609375,18.2964992523193,536.195983886719,336.368255615234,238.401657104492,264.452514648438,3.25263667106628,367.791656494141,52.4375,1012.66668701172,1045.25,104.375,28.0625,-38.03915,175.3606,15,"[15, 0, 27]"
6,Geniostoma rupestre,Geniostoma rupestre,546462-1,546462-1,Species,21.6747493743896,178.356994628906,24.4330005645752,19.5031251907349,2267.70922851562,41.0872497558594,900.532775878906,332.193756103516,171.36287689209001,238.712493896484,4.086063385009765,281.09375,53.1555557250977,447.555541992188,1225.75,68.7333297729492,26.3125,-20.657245,165.15,1,"[14, 11, 1, 15, 2, 3, 0, 12]"
7,Geniostoma rupestre var. australianum,Geniostoma rupestre,546462-1,886538-1,Variety,21.513500213623,248.877746582031,24.2544994354248,17.447624206542997,1643.01794433594,85.9127502441406,982.658508300781,105.764251708984,534.451538085938,591.590026855469,4.73463916778564,181.31650543212902,54.90625,279.270843505859,1808.25,55.5,20.875,-17.1,145.616667,11,"[14, 3, 2, 11, 1, 6, 0]"
8,Geniostoma rupestre var. crassifolium,Geniostoma rupestre,546462-1,886540-1,Variety,22.7927494049072,201.204742431641,25.3632507324219,20.1760005950928,1176.39575195312,41.8745002746582,469.777252197266,155.801254272461,222.847640991211,17.0174999237061,0.723903357982635,263.111114501953,53.523811340332,447.555541992188,837.5,68.0714263916016,25.25,-22.178426,166.443092,3,[3]
9,Geniostoma rupestre var. glaberrimum,Geniostoma rupestre,546462-1,886543-1,Variety,26.3225002288818,59.523250579834,27.0144996643066,25.5157508850098,2563.93383789062,37.1051254272461,1082.93713378906,363.370513916016,18.444599270820603,17.30624961853028,0.522218927741051,304.916656494141,55.5,530.125,1297.0,64.3125,28.75,-15.599499999999999,-7.5789999999999935,1,[1]
10,Geniostoma rupestre var. lasiostemon,Geniostoma rupestre,546462-1,77217228-1,Variety,26.9412498474121,9.50899982452393,27.1392498016357,26.9384994506836,4855.7587890625,11.5737495422363,1339.50219726562,1080.17321777344,6.33240985870361,2.11500000953674,0.160937160253525,459.75,55.3333320617676,1476.0,1466.0,88.3333358764648,31.625,5.338833,163.002,0,"[1, 0]"
11,Geniostoma rupestre var. rupestre,Geniostoma rupestre,546462-1,77230242-1,Variety,24.0437507629395,70.4684982299805,24.8379993438721,23.0435009002686,3115.482421875,20.4794998168945,907.394775390625,527.013000488281,54.0803337097168,404.942504882812,6.78489351272583,336.666656494141,51.7708320617676,729.666687011719,1244.25,69.75,29.25,-7.361667,147.138333,1,"[1, 3]"
12,Geniostoma rupestre var. thymeleaceum,Geniostoma rupestre,546462-1,886549-1,Variety,21.6459999084473,213.748748779297,24.286750793457,18.9202499389648,2267.70922851562,41.0872497558594,900.532775878906,333.734497070312,121.520774841309,227.919998168945,3.77149224281311,240.972229003906,53.2777786254883,429.088897705078,837.5,68.0714263916016,24.0625,-22.18222,166.76306,1,"[1, 14]"
13,Geniostoma tinifolium,Geniostoma tinifolium,77183797-1,77183797-1,Species,21.753999710083,133.968505859375,23.3819999694824,20.0457496643066,2166.22216796875,30.2747497558594,698.961486816406,360.855499267578,311.349029541016,491.212493896484,4.51497507095337,319.75,58.1111106872559,505.166656494141,3683.75,61.0,29.25,20.8721,-156.615,15,"[15, 3, 1, 0]"
14,Geniostoma tinifolium var. tinifolium,Geniostoma tinifolium,77183797-1,77233423-1,Variety,20.303625106811502,133.717498779297,22.0153751373291,18.536375045776353,2189.0155029296848,27.48787498474125,714.0106201171875,385.522003173828,343.6800537109375,661.971237182617,8.641404628753666,403.652770996094,56.19583320617675,583.8374938964845,3369.0,80.07500076293945,31.625,21.504600000000003,-158.0625,15,"[15, 3, 1]"
15,Mitrasacme nudicaulis,Mitrasacme nudicaulis,546679-1,546679-1,Species,26.4099998474121,264.701995849609,29.1952495574951,22.5294990539551,1319.87377929688,112.383499145508,865.974731445312,5.75675010681152,222.540161132812,209.714996337891,0.671471238136292,81.4375,62.3333320617676,101.6875,2686.5,25.375,15.8125,-14.24613,132.468731,3,"[6, 0, 3, 11, 1, 15]"
16,Mitrasacme nudicaulis var. citrina,Mitrasacme nudicaulis,546679-1,990986-1,Variety,26.4139995574951,199.748992919922,28.636999130249,23.3112506866455,1293.49072265625,111.30924987793,854.732238769531,10.7182502746582,238.656509399414,174.482498168945,1.09094393253326,110.875,64.2083358764648,130.79167175293,3448.25,26.4375,17.0,-14.847275,126.133333,3,"[3, 6]"
17,Mitrasacme nudicaulis var. nudicaulis,Mitrasacme nudicaulis,546679-1,77223896-1,Variety,26.44287586212155,289.640502929688,29.5652503967285,22.2715005874634,948.487243652344,113.876247406006,650.956237792969,5.20550012588501,139.93351745605452,135.662506103516,0.859289586544037,75.6875,64.875,92.5208358764648,2292.25,27.0625,16.1875,-15.841203499999999,134.645331,3,"[11, 3, 6, 14]"
18,Mitrasacme pilosa,Mitrasacme pilosa,546687-1,546687-1,Species,13.893249988555901,326.180755615234,18.17549991607665,10.38162517547605,998.1826171875,19.6597499847412,327.301239013672,195.981750488281,156.462600708008,224.7687454223635,2.06155276298523,230.111114501953,54.875,587.416687011719,917.25,75.1428604125977,19.8125,-37.567549,148.744305,15,"[15, 14, 9, 16, 7, 0]"
19,Mitrasacme pilosa var. pilosa,Mitrasacme pilosa,546687-1,51770-3,Variety,13.29675006866455,311.0287475585935,17.2647495269775,9.58699989318848,1068.46069335938,23.550250053405748,336.289001464844,198.6711196899415,219.52770233154303,246.41249847412098,2.430518865585325,263.375,52.3846168518066,636.958312988281,1008.75,77.8125,20.4375,-37.8,146.43625,15,"[15, 14, 9, 7, 0, 16]"
20,Mitrasacme pilosa var. stuartii,Mitrasacme pilosa,546687-1,51799-3,Variety,13.8462495803833,277.980743408203,17.6702499389648,10.1052503585815,972.164489746094,15.377375125884999,290.757507324219,188.784744262695,112.9196701049805,96.2125015258789,1.49391114711761,232.64582824707,52.0729160308838,625.272705078125,918.25,79.0714263916016,20.625,-38.33043,148.250599,15,"[15, 0, 9, 16]"
21,Mitrasacme pygmaea,Mitrasacme pygmaea,546693-1,546693-1,Species,21.7835006713867,375.226745605469,25.60325050354,16.7727508544922,1568.84851074219,82.3637466430664,815.872009277344,90.036247253418,143.43766784668,146.755004882812,1.87435281276703,201.186111450195,56.527082443237305,255.3680572509765,2122.5,48.75,22.25,6.866667,139.272852,3,"[11, 0, 14, 3, 6, 21, 1, 25, 2, 15]"
22,Mitrasacme pygmaea var. pygmaea,Mitrasacme pygmaea,546693-1,52183-3,Variety,26.3947505950928,69.1027526855469,27.1832504272461,25.2872505187988,2492.78271484375,47.40625,964.370239257812,277.320739746094,45.4681434631348,29.9375,0.540301322937012,290.833343505859,52.1777763366699,534.444458007812,2784.25,61.3333320617676,26.0833339691162,-1.666531,121.922222,1,"[3, 1, 2, 0, 14]"
