,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,MPNS_snippet,Compiled_Sources
16,546966-1,Spigelia marilandica,Spigelia marilandica,546966-1,Species,,Spigelia marilandica,['MPNS']
17,242221-2,Spigelia palmeri,Spigelia palmeri,242221-2,Species,,Spigelia palmeri,['MPNS']
18,546982-1,Spigelia pedunculata,Spigelia pedunculata,546982-1,Species,,Spigelia pedunculata,['MPNS']
19,547024-1,Strychnos aculeata,Strychnos aculeata,547024-1,Species,,Strychnos aculeata,"['MPNS', 'Manual']"
20,547030-1,Strychnos aenea,Strychnos aenea,547030-1,Species,,Strychnos aenea,['MPNS']
21,547031-1,Strychnos afzelii,Strychnos afzelii,547031-1,Species,,Strychnos afzelii,['MPNS']
22,547037-1,Strychnos andamanensis,Strychnos andamanensis,547037-1,Species,,Strychnos andamanensis,['MPNS']
23,547038-1,Strychnos angolensis,Strychnos angolensis,547038-1,Species,,Strychnos angolensis,['MPNS']
24,547039-1,Strychnos angustiflora,Strychnos angustiflora,547039-1,Species,,Strychnos angustiflora,['MPNS']
25,247281-2,Strychnos atlantica,Strychnos atlantica,247281-2,Species,,Strychnos atlantica,['MPNS']
26,547050-1,Strychnos axillaris,Strychnos axillaris,547050-1,Species,,Strychnos axillaris,['MPNS']
27,547059-1,Strychnos barteri,Strychnos barteri,547059-1,Species,,Strychnos barteri,['MPNS']
28,247287-2,Strychnos brachistantha,Strychnos brachistantha,247287-2,Species,,Strychnos brachistantha,['MPNS']
29,547081-1,Strychnos brasiliensis,Strychnos brasiliensis,547081-1,Species,,Strychnos brasiliensis,"['MPNS', 'Manual']"
30,547094-1,Strychnos camptoneura,Strychnos camptoneura,547094-1,Species,,Strychnos camptoneura,"['MPNS', 'Manual']"
31,547100-1,Strychnos castelnaeana,Strychnos castelnaeana,547100-1,Species,,Strychnos castelnaeana,['MPNS']
32,547102-1,Strychnos cathayensis,Strychnos cathayensis,547102-1,Species,,Strychnos cathayensis,['MPNS']
33,547124-1,Strychnos cocculoides,Strychnos cocculoides,547124-1,Species,,Strychnos cocculoides,['MPNS']
34,547125-1,Strychnos cogens,Strychnos cogens,547125-1,Species,,Strychnos cogens,['MPNS']
35,547134-1,Strychnos congolana,Strychnos congolana,547134-1,Species,,Strychnos congolana,['MPNS']
36,247298-2,Strychnos croatii,Strychnos croatii,247298-2,Species,,Strychnos croatii,"['MPNS', 'Manual']"
37,547145-1,Strychnos cuniculina,Strychnos cuniculina,547145-1,Species,,Strychnos cuniculina,['MPNS']
38,50426037-2,Strychnos decussata,Strychnos decussata,50426037-2,Species,,Strychnos decussata,['MPNS']
39,547156-1,Strychnos densiflora,Strychnos densiflora,547156-1,Species,,Strychnos densiflora,['MPNS']
40,247300-2,Strychnos diaboli,Strychnos diaboli,247300-2,Species,,Strychnos diaboli,['MPNS']
41,547161-1,Strychnos dinklagei,Strychnos dinklagei,547161-1,Species,,Strychnos dinklagei,['MPNS']
42,547162-1,Strychnos diplotricha,Strychnos diplotricha,547162-1,Species,,Strychnos diplotricha,"['MPNS', 'Manual']"
43,547167-1,Strychnos dolichothyrsa,Strychnos dolichothyrsa,547167-1,Species,,Strychnos dolichothyrsa,['MPNS']
44,547178-1,Strychnos elaeocarpa,Strychnos elaeocarpa,547178-1,Species,,Strychnos elaeocarpa,['MPNS']
45,547183-1,Strychnos erichsonii,Strychnos erichsonii,547183-1,Species,,Strychnos erichsonii,['MPNS']
46,247306-2,Strychnos fendleri,Strychnos fendleri,247306-2,Species,,Strychnos fendleri,"['MPNS', 'Manual']"
47,547195-1,Strychnos floribunda,Strychnos floribunda,547195-1,Species,,Strychnos floribunda,['MPNS']
48,547204-1,Strychnos gerrardii,Strychnos gerrardii,547204-1,Species,,Strychnos gerrardii,['MPNS']
49,547207-1,Strychnos glabra,Strychnos glabra,547207-1,Species,,Strychnos glabra,['MPNS']
50,547213-1,Strychnos gossweileri,Strychnos gossweileri,547213-1,Species,,Strychnos gossweileri,['MPNS']
51,547217-1,Strychnos gubleri,Strychnos gubleri,547217-1,Species,,Strychnos gubleri,['MPNS']
52,547220-1,Strychnos guianensis,Strychnos guianensis,547220-1,Species,,Strychnos guianensis,['MPNS']
53,547225-1,Strychnos henningsii,Strychnos henningsii,547225-1,Species,,Strychnos henningsii,"['MPNS', 'Manual']"
54,547240-1,Strychnos icaja,Strychnos icaja,547240-1,Species,,Strychnos icaja,"['MPNS', 'Manual']"
55,547242-1,Strychnos ignatii,Strychnos ignatii,547242-1,Species,,Strychnos ignatii,['MPNS']
56,547244-1,Strychnos innocua,Strychnos innocua,547244-1,Species,,Strychnos innocua,"['MPNS', 'Manual']"
57,547247-1,Strychnos jobertiana,Strychnos jobertiana,547247-1,Species,,Strychnos jobertiana,['MPNS']
58,60452498-2,Strychnos longicaudata,Strychnos longicaudata,60452498-2,Species,,Strychnos longicaudata,['MPNS']
59,547293-1,Strychnos lucens,Strychnos lucens,547293-1,Species,,Strychnos lucens,['MPNS']
60,547295-1,Strychnos lucida,Strychnos lucida,547295-1,Species,,Strychnos lucida,"['MPNS', 'Manual']"
61,547300-1,Strychnos madagascariensis,Strychnos madagascariensis,547300-1,Species,,Strychnos madagascariensis,['MPNS']
62,547301-1,Strychnos maingayi,Strychnos maingayi,547301-1,Species,,Strychnos maingayi,['MPNS']
63,547305-1,Strychnos malchairii,Strychnos malchairii,547305-1,Species,,Strychnos malchairii,['MPNS']
64,547319-1,Strychnos melastomatoides,Strychnos melastomatoides,547319-1,Species,,Strychnos melastomatoides,['MPNS']
65,547339-1,Strychnos minor,Strychnos minor,547339-1,Species,,Strychnos minor,['MPNS']
66,77227499-1,Strychnos minor var. minor,Strychnos minor,547339-1,Variety,,Strychnos minor var. minor,['MPNS']
67,547340-1,Strychnos mitis,Strychnos mitis,547340-1,Species,,Strychnos mitis,"['MPNS', 'Manual']"
68,547341-1,Strychnos mitscherlichii,Strychnos mitscherlichii,547341-1,Species,,Strychnos mitscherlichii,['MPNS']
69,547349-1,Strychnos mostueoides,Strychnos mostueoides,547349-1,Species,,Strychnos mostueoides,['MPNS']
70,547356-1,Strychnos myrtoides,Strychnos myrtoides,547356-1,Species,,Strychnos myrtoides,"['MPNS', 'Manual']"
71,547357-1,Strychnos narcondamensis,Strychnos narcondamensis,547357-1,Species,,Strychnos narcondamensis,['MPNS']
72,547367-1,Strychnos nitida,Strychnos nitida,547367-1,Species,,Strychnos nitida,['MPNS']
73,547370-1,Strychnos nux-blanda,Strychnos nux-blanda,547370-1,Species,,Strychnos nux-blanda,"['MPNS', 'Manual']"
74,547371-1,Strychnos nux-vomica,Strychnos nux-vomica,547371-1,Species,,Strychnos nux-vomica,"['MPNS', 'Manual']"
75,547375-1,Strychnos odorata,Strychnos odorata,547375-1,Species,,Strychnos odorata,['MPNS']
76,547390-1,Strychnos panamensis,Strychnos panamensis,547390-1,Species,,Strychnos panamensis,"['MPNS', 'Manual']"
77,547399-1,Strychnos parvifolia,Strychnos parvifolia,547399-1,Species,,Strychnos parvifolia,['MPNS']
78,547408-1,Strychnos phaeotricha,Strychnos phaeotricha,547408-1,Species,,Strychnos phaeotricha,['MPNS']
79,547420-1,Strychnos potatorum,Strychnos potatorum,547420-1,Species,,Strychnos potatorum,"['MPNS', 'Manual']"
80,547425-1,Strychnos pseudoquina,Strychnos pseudoquina,547425-1,Species,,Strychnos pseudoquina,"['MPNS', 'Manual']"
81,547428-1,Strychnos pubescens,Strychnos pubescens,547428-1,Species,,Strychnos pubescens,['MPNS']
82,547430-1,Strychnos pungens,Strychnos pungens,547430-1,Species,,Strychnos pungens,['MPNS']
83,547456-1,Strychnos rufa,Strychnos rufa,547456-1,Species,,Strychnos rufa,['MPNS']
84,547459-1,Strychnos samba,Strychnos samba,547459-1,Species,,Strychnos samba,['MPNS']
85,547464-1,Strychnos scheffleri,Strychnos scheffleri,547464-1,Species,,Strychnos scheffleri,['MPNS']
86,247356-2,Strychnos solimoesana,Strychnos solimoesana,247356-2,Species,,Strychnos solimoesana,['MPNS']
87,547485-1,Strychnos spinosa,Strychnos spinosa,547485-1,Species,,Strychnos spinosa,"['MPNS', 'Manual']"
88,547488-1,Strychnos staudtii,Strychnos staudtii,547488-1,Species,,Strychnos staudtii,['MPNS']
89,547493-1,Strychnos subcordata,Strychnos subcordata,547493-1,Species,,Strychnos subcordata,['MPNS']
90,547504-1,Strychnos tchibangensis,Strychnos tchibangensis,547504-1,Species,,Strychnos tchibangensis,['MPNS']
91,547508-1,Strychnos ternata,Strychnos ternata,547508-1,Species,,Strychnos ternata,['MPNS']
92,547525-1,Strychnos toxifera,Strychnos toxifera,547525-1,Species,,Strychnos toxifera,['MPNS']
93,547527-1,Strychnos tricalysioides,Strychnos tricalysioides,547527-1,Species,,Strychnos tricalysioides,['MPNS']
94,77221793-1,Strychnos trinervis,Strychnos trinervis,77221793-1,Species,,Strychnos trinervis,"['MPNS', 'Manual']"
95,547538-1,Strychnos umbellata,Strychnos umbellata,547538-1,Species,,Strychnos umbellata,['MPNS']
96,547543-1,Strychnos usambarensis,Strychnos usambarensis,547543-1,Species,,Strychnos usambarensis,"['MPNS', 'Manual']"
97,547548-1,Strychnos vanprukii,Strychnos vanprukii,547548-1,Species,,Strychnos vanprukii,['MPNS']
98,547549-1,Strychnos variabilis,Strychnos variabilis,547549-1,Species,,Strychnos variabilis,['MPNS']
99,547566-1,Strychnos wallichiana,Strychnos wallichiana,547566-1,Species,,Strychnos wallichiana,"['MPNS', 'Manual']"
100,547612-1,Usteria guineensis,Usteria guineensis,547612-1,Species,,Usteria guineensis,"['MPNS', 'Manual']"
