,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,MPNS_snippet,Compiled_Sources
0,546941-1,Spigelia hamellioides,Spigelia hamellioides,546941-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",Spigelia hamellioides,"['POWO pages(/taxon/urn:lsid:ipni.org:names:546941-1)', 'MPNS']"
1,545655-1,Antonia ovata,Antonia ovata,545655-1,Species,,Antonia ovata,['MPNS']
2,546332-1,Gardneria angustifolia,Gardneria angustifolia,546332-1,Species,,Gardneria angustifolia,['MPNS']
3,546341-1,Gardneria multiflora,Gardneria multiflora,546341-1,Species,,Gardneria multiflora,['MPNS']
4,546343-1,Gardneria nutans,Gardneria nutans,546343-1,Species,,Gardneria nutans,['MPNS']
5,546361-1,Geniostoma antherotrichum,Geniostoma antherotrichum,546361-1,Species,,Geniostoma antherotrichum,['MPNS']
6,546371-1,Geniostoma borbonicum,Geniostoma borbonicum,546371-1,Species,,Geniostoma borbonicum,['MPNS']
7,546462-1,Geniostoma rupestre,Geniostoma rupestre,546462-1,Species,,Geniostoma rupestre,['MPNS']
8,886543-1,Geniostoma rupestre var. glaberrimum,Geniostoma rupestre,546462-1,Variety,,Geniostoma rupestre var. glaberrimum,['MPNS']
9,77230242-1,Geniostoma rupestre var. rupestre,Geniostoma rupestre,546462-1,Variety,,Geniostoma rupestre var. rupestre,['MPNS']
10,546693-1,Mitrasacme pygmaea,Mitrasacme pygmaea,546693-1,Species,,Mitrasacme pygmaea,['MPNS']
11,546787-1,Neuburgia corynocarpa,Neuburgia corynocarpa,546787-1,Species,,Neuburgia corynocarpa,['MPNS']
12,80481-1,Neuburgia tubiflora,Neuburgia tubiflora,80481-1,Species,,Neuburgia tubiflora,['MPNS']
13,546804-1,Norrisia malaccensis,Norrisia malaccensis,546804-1,Species,,Norrisia malaccensis,['MPNS']
14,318920-2,Spigelia anthelmia,Spigelia anthelmia,318920-2,Species,,Spigelia anthelmia,"['MPNS', 'Manual']"
15,546947-1,Spigelia humboldtiana,Spigelia humboldtiana,546947-1,Species,,Spigelia humboldtiana,['MPNS']
