,kew_id,family,genus,species,infraspecies,taxon_name,authors,rank,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,parent_kew_id,parent_name,parent_authors,reviewed,publication,original_name_id,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
672651,77154429-1,Loganiaceae,Adelphacme,minima,,Adelphacme minima,"(B.J.Conn) K.L.Gibbons, B.J.Conn & Henwood",Species,Accepted,77154429-1,Adelphacme minima,,77154428-1,Adelphacme,"K.L.Gibbons, B.J.Conn & Henwood",In review,Telopea 15: 38 (2013),987382-1,Adelphacme minima,77154429-1,Species,Adelphacme minima,77154429-1
672662,545655-1,Loganiaceae,Antonia,ovata,,Antonia ovata,Pohl,Species,Accepted,545655-1,Antonia ovata,,30033233-2,Antonia,Pohl,In review,Pl. Bras. Icon. Descr. 2: 13 (1831),,Antonia ovata,545655-1,Species,Antonia ovata,545655-1
672673,545660-1,Loganiaceae,Bonyunia,antoniifolia,,Bonyunia antoniifolia,Progel,Species,Accepted,545660-1,Bonyunia antoniifolia,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 6(1): 288 (1868)",,Bonyunia antoniifolia,545660-1,Species,Bonyunia antoniifolia,545660-1
672674,34787-2,Loganiaceae,Bonyunia,aquatica,,Bonyunia aquatica,Ducke,Species,Accepted,34787-2,Bonyunia aquatica,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Arq. Inst. Biol. Veg. 1: 211 (1935),,Bonyunia aquatica,34787-2,Species,Bonyunia aquatica,34787-2
672676,77104860-1,Loganiaceae,Bonyunia,excelsa,,Bonyunia excelsa,J.R.Grant,Species,Accepted,77104860-1,Bonyunia excelsa,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 551 (2009),,Bonyunia excelsa,77104860-1,Species,Bonyunia excelsa,77104860-1
672677,77104861-1,Loganiaceae,Bonyunia,magnifica,,Bonyunia magnifica,J.R.Grant,Species,Accepted,77104861-1,Bonyunia magnifica,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 553 (2009),,Bonyunia magnifica,77104861-1,Species,Bonyunia magnifica,77104861-1
672678,34789-2,Loganiaceae,Bonyunia,minor,,Bonyunia minor,N.E.Br.,Species,Accepted,34789-2,Bonyunia minor,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,"Trans. Linn. Soc. London, Bot. 6: 49 (1896)",,Bonyunia minor,34789-2,Species,Bonyunia minor,34789-2
672679,77104862-1,Loganiaceae,Bonyunia,nobilis,,Bonyunia nobilis,J.R.Grant,Species,Accepted,77104862-1,Bonyunia nobilis,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 557 (2009),,Bonyunia nobilis,77104862-1,Species,Bonyunia nobilis,77104862-1
672680,77104863-1,Loganiaceae,Bonyunia,pulchra,,Bonyunia pulchra,"Ricketson, J.R.Grant & Liesner",Species,Accepted,77104863-1,Bonyunia pulchra,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 557 (2009),,Bonyunia pulchra,77104863-1,Species,Bonyunia pulchra,77104863-1
672681,77104864-1,Loganiaceae,Bonyunia,spectabilis,,Bonyunia spectabilis,J.R.Grant,Species,Accepted,77104864-1,Bonyunia spectabilis,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 558 (2009),,Bonyunia spectabilis,77104864-1,Species,Bonyunia spectabilis,77104864-1
672682,545664-1,Loganiaceae,Bonyunia,superba,,Bonyunia superba,R.H.Schomb. ex Progel,Species,Accepted,545664-1,Bonyunia superba,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 6(1): 267 (1868)",,Bonyunia superba,545664-1,Species,Bonyunia superba,545664-1
672683,77104865-1,Loganiaceae,Bonyunia,venusta,,Bonyunia venusta,J.R.Grant,Species,Accepted,77104865-1,Bonyunia venusta,,25034-1,Bonyunia,R.H.Schomb. ex Progel,In review,Ann. Missouri Bot. Gard. 96: 561 (2009),,Bonyunia venusta,77104865-1,Species,Bonyunia venusta,77104865-1
672763,546332-1,Loganiaceae,Gardneria,angustifolia,,Gardneria angustifolia,Wall.,Species,Accepted,546332-1,Gardneria angustifolia,,25066-1,Gardneria,Wall.,In review,"W.Roxburgh, Fl. Ind. 1: 318 (1820)",,Gardneria angustifolia,546332-1,Species,Gardneria angustifolia,546332-1
672769,546339-1,Loganiaceae,Gardneria,lanceolata,,Gardneria lanceolata,Rehder & E.H.Wilson,Species,Accepted,546339-1,Gardneria lanceolata,,25066-1,Gardneria,Wall.,In review,"C.S.Sargent, Pl. Wilson. 1: 563 (1913)",,Gardneria lanceolata,546339-1,Species,Gardneria lanceolata,546339-1
672771,546341-1,Loganiaceae,Gardneria,multiflora,,Gardneria multiflora,Makino,Species,Accepted,546341-1,Gardneria multiflora,,25066-1,Gardneria,Wall.,In review,Bot. Mag. (Tokyo) 15: 103 (1901),,Gardneria multiflora,546341-1,Species,Gardneria multiflora,546341-1
672772,546343-1,Loganiaceae,Gardneria,nutans,,Gardneria nutans,Siebold & Zucc.,Species,Accepted,546343-1,Gardneria nutans,,25066-1,Gardneria,Wall.,In review,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 4(3): 165 (1846),,Gardneria nutans,546343-1,Species,Gardneria nutans,546343-1
672773,546344-1,Loganiaceae,Gardneria,ovata,,Gardneria ovata,Wall.,Species,Accepted,546344-1,Gardneria ovata,,25066-1,Gardneria,Wall.,In review,"W.Roxburgh, Fl. Ind. 1: 400 (1820)",,Gardneria ovata,546344-1,Species,Gardneria ovata,546344-1
672781,546360-1,Loganiaceae,Geniostoma,angustifolium,,Geniostoma angustifolium,Bouton ex DC.,Species,Accepted,546360-1,Geniostoma angustifolium,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Prodr. 9: 28 (1845),,Geniostoma angustifolium,546360-1,Species,Geniostoma angustifolium,546360-1
672782,546361-1,Loganiaceae,Geniostoma,antherotrichum,,Geniostoma antherotrichum,Gilg & Gilg-Ben.,Species,Accepted,546361-1,Geniostoma antherotrichum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Bot. Jahrb. Syst. 54: 158 (1916),,Geniostoma antherotrichum,546361-1,Species,Geniostoma antherotrichum,546361-1
672783,77230903-1,Loganiaceae,Geniostoma,antherotrichum,antherotrichum,Geniostoma antherotrichum var. antherotrichum,,Variety,Accepted,77230903-1,Geniostoma antherotrichum var. antherotrichum,,546361-1,Geniostoma antherotrichum,Gilg & Gilg-Ben.,In review,,,Geniostoma antherotrichum var. antherotrichum,77230903-1,Variety,Geniostoma antherotrichum,546361-1
672784,886534-1,Loganiaceae,Geniostoma,antherotrichum,archboldianum,Geniostoma antherotrichum var. archboldianum,(Merr. & L.M.Perry) B.J.Conn,Variety,Accepted,886534-1,Geniostoma antherotrichum var. archboldianum,,546361-1,Geniostoma antherotrichum,Gilg & Gilg-Ben.,In review,Blumea 26: 320 (1980),546363-1,Geniostoma antherotrichum var. archboldianum,886534-1,Variety,Geniostoma antherotrichum,546361-1
672794,546371-1,Loganiaceae,Geniostoma,borbonicum,,Geniostoma borbonicum,(Lam.) Spreng.,Species,Accepted,546371-1,Geniostoma borbonicum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,"Syst. Veg. ed. 16, 1: 588 (1824)",545594-1,Geniostoma borbonicum,546371-1,Species,Geniostoma borbonicum,546371-1
672815,546391-1,Loganiaceae,Geniostoma,densiflorum,,Geniostoma densiflorum,Baill.,Species,Accepted,546391-1,Geniostoma densiflorum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Bull. Mens. Soc. Linn. Paris 1: 264 (1880),,Geniostoma densiflorum,546391-1,Species,Geniostoma densiflorum,546391-1
