,kew_id,family,genus,species,infraspecies,taxon_name,authors,rank,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,parent_kew_id,parent_name,parent_authors,reviewed,publication,original_name_id,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
672816,77230052-1,Loganiaceae,Geniostoma,densiflorum,densiflorum,Geniostoma densiflorum var. densiflorum,,Variety,Accepted,77230052-1,Geniostoma densiflorum var. densiflorum,,546391-1,Geniostoma densiflorum,Baill.,In review,,,Geniostoma densiflorum var. densiflorum,77230052-1,Variety,Geniostoma densiflorum,546391-1
672835,546409-1,Loganiaceae,Geniostoma,grandifolium,,Geniostoma grandifolium,B.J.Conn,Species,Accepted,546409-1,Geniostoma grandifolium,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Blumea 26: 351 (1980),,Geniostoma grandifolium,546409-1,Species,Geniostoma grandifolium,546409-1
672856,546423-1,Loganiaceae,Geniostoma,leenhoutsii,,Geniostoma leenhoutsii,B.J.Conn,Species,Accepted,546423-1,Geniostoma leenhoutsii,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Blumea 26: 323 (1980),,Geniostoma leenhoutsii,546423-1,Species,Geniostoma leenhoutsii,546423-1
672884,546448-1,Loganiaceae,Geniostoma,pedunculatum,,Geniostoma pedunculatum,Bouton,Species,Accepted,546448-1,Geniostoma pedunculatum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,J. Bot. (Hooker) 1: 357 (1835),,Geniostoma pedunculatum,546448-1,Species,Geniostoma pedunculatum,546448-1
672894,546457-1,Loganiaceae,Geniostoma,randianum,,Geniostoma randianum,Merr. & L.M.Perry,Species,Accepted,546457-1,Geniostoma randianum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,J. Arnold Arbor. 23: 409 (1942),,Geniostoma randianum,546457-1,Species,Geniostoma randianum,546457-1
672899,546462-1,Loganiaceae,Geniostoma,rupestre,,Geniostoma rupestre,J.R.Forst. & G.Forst.,Species,Accepted,546462-1,Geniostoma rupestre,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Char. Gen. Pl.: 24 (1776),,Geniostoma rupestre,546462-1,Species,Geniostoma rupestre,546462-1
672900,886538-1,Loganiaceae,Geniostoma,rupestre,australianum,Geniostoma rupestre var. australianum,(F.Muell.) B.J.Conn,Variety,Accepted,886538-1,Geniostoma rupestre var. australianum,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,Blumea 26: 297 (1980),546366-1,Geniostoma rupestre var. australianum,886538-1,Variety,Geniostoma rupestre,546462-1
672905,886543-1,Loganiaceae,Geniostoma,rupestre,glaberrimum,Geniostoma rupestre var. glaberrimum,(Benth.) B.J.Conn,Variety,Accepted,886543-1,Geniostoma rupestre var. glaberrimum,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,Blumea 26: 302 (1980),,Geniostoma rupestre var. glaberrimum,886543-1,Variety,Geniostoma rupestre,546462-1
672907,77217228-1,Loganiaceae,Geniostoma,rupestre,lasiostemon,Geniostoma rupestre var. lasiostemon,(Blume) ined.,Variety,Accepted,77217228-1,Geniostoma rupestre var. lasiostemon,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,,546421-1,Geniostoma rupestre var. lasiostemon,77217228-1,Variety,Geniostoma rupestre,546462-1
672911,886547-1,Loganiaceae,Geniostoma,rupestre,rouffaeranum,Geniostoma rupestre var. rouffaeranum,B.J.Conn,Variety,Accepted,886547-1,Geniostoma rupestre var. rouffaeranum,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,Blumea 26: 311 (1980),,Geniostoma rupestre var. rouffaeranum,886547-1,Variety,Geniostoma rupestre,546462-1
672912,77230242-1,Loganiaceae,Geniostoma,rupestre,rupestre,Geniostoma rupestre var. rupestre,,Variety,Accepted,77230242-1,Geniostoma rupestre var. rupestre,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,,,Geniostoma rupestre var. rupestre,77230242-1,Variety,Geniostoma rupestre,546462-1
672913,886548-1,Loganiaceae,Geniostoma,rupestre,solomonense,Geniostoma rupestre var. solomonense,B.J.Conn,Variety,Accepted,886548-1,Geniostoma rupestre var. solomonense,,546462-1,Geniostoma rupestre,J.R.Forst. & G.Forst.,In review,Blumea 26: 297 (1980),,Geniostoma rupestre var. solomonense,886548-1,Variety,Geniostoma rupestre,546462-1
672933,546476-1,Loganiaceae,Geniostoma,trichostylum,,Geniostoma trichostylum,B.J.Conn,Species,Accepted,546476-1,Geniostoma trichostylum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Blumea 26: 325 (1980),,Geniostoma trichostylum,546476-1,Species,Geniostoma trichostylum,546476-1
672935,546477-1,Loganiaceae,Geniostoma,umbellatum,,Geniostoma umbellatum,B.J.Conn,Species,Accepted,546477-1,Geniostoma umbellatum,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,Blumea 26: 353 (1980),,Geniostoma umbellatum,546477-1,Species,Geniostoma umbellatum,546477-1
672943,546482-1,Loganiaceae,Geniostoma,weinlandii,,Geniostoma weinlandii,K.Schum.,Species,Accepted,546482-1,Geniostoma weinlandii,,25069-1,Geniostoma,J.R.Forst. & G.Forst.,In review,"K.M.Schumann & C.A.G.Lauterbach, Fl. Schutzgeb. Südsee, Nachtr.: 349 (1905)",,Geniostoma weinlandii,546482-1,Species,Geniostoma weinlandii,546482-1
673010,546584-1,Loganiaceae,Logania,albiflora,,Logania albiflora,(Andrews) Druce,Species,Accepted,546584-1,Logania albiflora,,331727-2,Logania,R.Br.,In review,Rep. Bot. Soc. Exch. Club Brit. Isles 1916: 633 (1917),546066-1,Logania albiflora,546584-1,Species,Logania albiflora,546584-1
673013,984031-1,Loganiaceae,Logania,archeri,,Logania archeri,B.J.Conn,Species,Accepted,984031-1,Logania archeri,,331727-2,Logania,R.Br.,In review,Austral. Syst. Bot. 8: 604 (1995),,Logania archeri,984031-1,Species,Logania archeri,984031-1
673017,546589-1,Loganiaceae,Logania,buxifolia,,Logania buxifolia,F.Muell.,Species,Accepted,546589-1,Logania buxifolia,,331727-2,Logania,R.Br.,In review,Fragm. 6: 132 (1868),,Logania buxifolia,546589-1,Species,Logania buxifolia,546589-1
673025,546596-1,Loganiaceae,Logania,cordifolia,,Logania cordifolia,Hook.,Species,Accepted,546596-1,Logania cordifolia,,331727-2,Logania,R.Br.,In review,"T.L.Mitchell, J. Exped. Trop. Australia: 341 (1848)",,Logania cordifolia,546596-1,Species,Logania cordifolia,546596-1
673030,906553-1,Loganiaceae,Logania,diffusa,,Logania diffusa,R.J.F.Hend.,Species,Accepted,906553-1,Logania diffusa,,331727-2,Logania,R.Br.,In review,Austrobaileya 2: 194 (1985),,Logania diffusa,906553-1,Species,Logania diffusa,906553-1
673034,546602-1,Loganiaceae,Logania,fasciculata,,Logania fasciculata,R.Br.,Species,Accepted,546602-1,Logania fasciculata,,331727-2,Logania,R.Br.,In review,Prodr. Fl. Nov. Holland.: 456 (1810),,Logania fasciculata,546602-1,Species,Logania fasciculata,546602-1
673048,984037-1,Loganiaceae,Logania,litoralis,,Logania litoralis,B.J.Conn,Species,Accepted,984037-1,Logania litoralis,,331727-2,Logania,R.Br.,In review,Austral. Syst. Bot. 8: 634 (1995),,Logania litoralis,984037-1,Species,Logania litoralis,984037-1
673053,546613-1,Loganiaceae,Logania,micrantha,,Logania micrantha,Benth.,Species,Accepted,546613-1,Logania micrantha,,331727-2,Logania,R.Br.,In review,"J. Proc. Linn. Soc., Bot. 1: 94 (1856)",,Logania micrantha,546613-1,Species,Logania micrantha,546613-1
673055,984032-1,Loganiaceae,Logania,nanophylla,,Logania nanophylla,B.J.Conn,Species,Accepted,984032-1,Logania nanophylla,,331727-2,Logania,R.Br.,In review,Austral. Syst. Bot. 8: 611 (1995),,Logania nanophylla,984032-1,Species,Logania nanophylla,984032-1
673061,984035-1,Loganiaceae,Logania,perryana,,Logania perryana,B.J.Conn,Species,Accepted,984035-1,Logania perryana,,331727-2,Logania,R.Br.,In review,Austral. Syst. Bot. 8: 624 (1995),,Logania perryana,984035-1,Species,Logania perryana,984035-1
673072,546624-1,Loganiaceae,Logania,stenophylla,,Logania stenophylla,F.Muell.,Species,Accepted,546624-1,Logania stenophylla,,331727-2,Logania,R.Br.,In review,Fragm. 1: 128 (1859),,Logania stenophylla,546624-1,Species,Logania stenophylla,546624-1
673073,77108596-1,Loganiaceae,Logania,sylvicola,,Logania sylvicola,"Cranfield, Hislop & T.D.Macfarl.",Species,Accepted,77108596-1,Logania sylvicola,,331727-2,Logania,R.Br.,In review,Nuytsia 20: 272 (2010),,Logania sylvicola,77108596-1,Species,Logania sylvicola,77108596-1
673076,546627-1,Loganiaceae,Logania,vaginalis,,Logania vaginalis,(Labill.) F.Muell.,Species,Accepted,546627-1,Logania vaginalis,,331727-2,Logania,R.Br.,In review,Fragm. 6: 132 (1868),367573-1,Logania vaginalis,546627-1,Species,Logania vaginalis,546627-1
673083,990993-1,Loganiaceae,Mitrasacme,aggregata,,Mitrasacme aggregata,Dunlop,Species,Accepted,990993-1,Mitrasacme aggregata,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 312 (1996),,Mitrasacme aggregata,990993-1,Species,Mitrasacme aggregata,990993-1
673084,546631-1,Loganiaceae,Mitrasacme,albomarginata,,Mitrasacme albomarginata,Leenh.,Species,Accepted,546631-1,Mitrasacme albomarginata,,25093-1,Mitrasacme,Labill.,In review,Bull. Jard. Bot. État Bruxelles 32: 442 (1962),,Mitrasacme albomarginata,546631-1,Species,Mitrasacme albomarginata,546631-1
673085,546632-1,Loganiaceae,Mitrasacme,alsinoides,,Mitrasacme alsinoides,R.Br.,Species,Accepted,546632-1,Mitrasacme alsinoides,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme alsinoides,546632-1,Species,Mitrasacme alsinoides,546632-1
673087,546633-1,Loganiaceae,Mitrasacme,ambigua,,Mitrasacme ambigua,R.Br.,Species,Accepted,546633-1,Mitrasacme ambigua,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 454 (1810),,Mitrasacme ambigua,546633-1,Species,Mitrasacme ambigua,546633-1
673092,546637-1,Loganiaceae,Mitrasacme,bogoriensis,,Mitrasacme bogoriensis,Leenh.,Species,Accepted,546637-1,Mitrasacme bogoriensis,,25093-1,Mitrasacme,Labill.,In review,Bull. Jard. Bot. État Bruxelles 32: 444 (1962),,Mitrasacme bogoriensis,546637-1,Species,Mitrasacme bogoriensis,546637-1
673093,546638-1,Loganiaceae,Mitrasacme,brachystemonea,,Mitrasacme brachystemonea,Domin,Species,Accepted,546638-1,Mitrasacme brachystemonea,,25093-1,Mitrasacme,Labill.,In review,Biblioth. Bot. 22(89): 517 (1928),,Mitrasacme brachystemonea,546638-1,Species,Mitrasacme brachystemonea,546638-1
673099,990991-1,Loganiaceae,Mitrasacme,clarksonii,,Mitrasacme clarksonii,Dunlop,Species,Accepted,990991-1,Mitrasacme clarksonii,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 312 (1996),,Mitrasacme clarksonii,990991-1,Species,Mitrasacme clarksonii,990991-1
673101,546646-1,Loganiaceae,Mitrasacme,connata,,Mitrasacme connata,R.Br.,Species,Accepted,546646-1,Mitrasacme connata,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 454 (1810),,Mitrasacme connata,546646-1,Species,Mitrasacme connata,546646-1
673108,546654-1,Loganiaceae,Mitrasacme,elata,,Mitrasacme elata,R.Br.,Species,Accepted,546654-1,Mitrasacme elata,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme elata,546654-1,Species,Mitrasacme elata,546654-1
673110,990987-1,Loganiaceae,Mitrasacme,epigaea,,Mitrasacme epigaea,Dunlop,Species,Accepted,990987-1,Mitrasacme epigaea,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 311 (1996),,Mitrasacme epigaea,990987-1,Species,Mitrasacme epigaea,990987-1
673111,546655-1,Loganiaceae,Mitrasacme,erophila,,Mitrasacme erophila,Leenh.,Species,Accepted,546655-1,Mitrasacme erophila,,25093-1,Mitrasacme,Labill.,In review,Bull. Jard. Bot. État Bruxelles 32: 446 (1962),,Mitrasacme erophila,546655-1,Species,Mitrasacme erophila,546655-1
673113,982476-1,Loganiaceae,Mitrasacme,erophila,grandiflora,Mitrasacme erophila subsp. grandiflora,J.Parn. & Griffin,Subspecies,Accepted,982476-1,Mitrasacme erophila subsp. grandiflora,,546655-1,Mitrasacme erophila,Leenh.,In review,Novon 5: 59 (1995),,Mitrasacme erophila subsp. grandiflora,982476-1,Subspecies,Mitrasacme erophila,546655-1
673114,546656-1,Loganiaceae,Mitrasacme,exserta,,Mitrasacme exserta,F.Muell.,Species,Accepted,546656-1,Mitrasacme exserta,,25093-1,Mitrasacme,Labill.,In review,Fragm. 1: 131 (1859),,Mitrasacme exserta,546656-1,Species,Mitrasacme exserta,546656-1
673115,990989-1,Loganiaceae,Mitrasacme,floribunda,,Mitrasacme floribunda,Dunlop,Species,Accepted,990989-1,Mitrasacme floribunda,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 311 (1996),,Mitrasacme floribunda,990989-1,Species,Mitrasacme floribunda,990989-1
673116,546657-1,Loganiaceae,Mitrasacme,foliosa,,Mitrasacme foliosa,C.A.Gardner,Species,Accepted,546657-1,Mitrasacme foliosa,,25093-1,Mitrasacme,Labill.,In review,Bull. Woods Forests Dept. Western Australis 32: 86 (1923),,Mitrasacme foliosa,546657-1,Species,Mitrasacme foliosa,546657-1
673117,990997-1,Loganiaceae,Mitrasacme,galbina,,Mitrasacme galbina,Dunlop,Species,Accepted,990997-1,Mitrasacme galbina,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 313 (1996),,Mitrasacme galbina,990997-1,Species,Mitrasacme galbina,990997-1
673119,990995-1,Loganiaceae,Mitrasacme,geniculosa,,Mitrasacme geniculosa,Dunlop,Species,Accepted,990995-1,Mitrasacme geniculosa,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 313 (1996),,Mitrasacme geniculosa,990995-1,Species,Mitrasacme geniculosa,990995-1
673120,546659-1,Loganiaceae,Mitrasacme,gentianea,,Mitrasacme gentianea,F.Muell.,Species,Accepted,546659-1,Mitrasacme gentianea,,25093-1,Mitrasacme,Labill.,In review,Fragm. 1: 130 (1859),,Mitrasacme gentianea,546659-1,Species,Mitrasacme gentianea,546659-1
673121,990981-1,Loganiaceae,Mitrasacme,glaucescens,,Mitrasacme glaucescens,Dunlop,Species,Accepted,990981-1,Mitrasacme glaucescens,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),,Mitrasacme glaucescens,990981-1,Species,Mitrasacme glaucescens,990981-1
673122,990978-1,Loganiaceae,Mitrasacme,graminea,,Mitrasacme graminea,Dunlop,Species,Accepted,990978-1,Mitrasacme graminea,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),,Mitrasacme graminea,990978-1,Species,Mitrasacme graminea,990978-1
673124,546661-1,Loganiaceae,Mitrasacme,hispida,,Mitrasacme hispida,W.Fitzg.,Species,Accepted,546661-1,Mitrasacme hispida,,25093-1,Mitrasacme,Labill.,In review,J. Proc. Roy. Soc. Western Australia 3: 194 (1918),,Mitrasacme hispida,546661-1,Species,Mitrasacme hispida,546661-1
673128,990992-1,Loganiaceae,Mitrasacme,inornata,,Mitrasacme inornata,Dunlop,Species,Accepted,990992-1,Mitrasacme inornata,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 312 (1996),,Mitrasacme inornata,990992-1,Species,Mitrasacme inornata,990992-1
673129,77148781-1,Loganiaceae,Mitrasacme,katjarranka,,Mitrasacme katjarranka,N.Gibson & S.J.van Leeuwen,Species,Accepted,77148781-1,Mitrasacme katjarranka,,25093-1,Mitrasacme,Labill.,In review,Nuytsia 25: 191 (2015),,Mitrasacme katjarranka,77148781-1,Species,Mitrasacme katjarranka,77148781-1
673130,990996-1,Loganiaceae,Mitrasacme,kenneallyi,,Mitrasacme kenneallyi,Dunlop,Species,Accepted,990996-1,Mitrasacme kenneallyi,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 313 (1996),,Mitrasacme kenneallyi,990996-1,Species,Mitrasacme kenneallyi,990996-1
673131,546664-1,Loganiaceae,Mitrasacme,laevis,,Mitrasacme laevis,Benth.,Species,Accepted,546664-1,Mitrasacme laevis,,25093-1,Mitrasacme,Labill.,In review,"J. Proc. Linn. Soc., Bot. 1: 93 (1856)",,Mitrasacme laevis,546664-1,Species,Mitrasacme laevis,546664-1
673132,546665-1,Loganiaceae,Mitrasacme,laricifolia,,Mitrasacme laricifolia,R.Br.,Species,Accepted,546665-1,Mitrasacme laricifolia,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme laricifolia,546665-1,Species,Mitrasacme laricifolia,546665-1
673133,546666-1,Loganiaceae,Mitrasacme,latiflora,,Mitrasacme latiflora,S.Moore,Species,Accepted,546666-1,Mitrasacme latiflora,,25093-1,Mitrasacme,Labill.,In review,"J. Linn. Soc., Bot. 45: 208 (1920)",,Mitrasacme latiflora,546666-1,Species,Mitrasacme latiflora,546666-1
673134,990999-1,Loganiaceae,Mitrasacme,laxiceps,,Mitrasacme laxiceps,Dunlop,Species,Accepted,990999-1,Mitrasacme laxiceps,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 314 (1996),,Mitrasacme laxiceps,990999-1,Species,Mitrasacme laxiceps,990999-1
673138,546669-1,Loganiaceae,Mitrasacme,lutea,,Mitrasacme lutea,F.Muell.,Species,Accepted,546669-1,Mitrasacme lutea,,25093-1,Mitrasacme,Labill.,In review,Fragm. 1: 133 (1859),,Mitrasacme lutea,546669-1,Species,Mitrasacme lutea,546669-1
673141,990994-1,Loganiaceae,Mitrasacme,maritima,,Mitrasacme maritima,Dunlop,Species,Accepted,990994-1,Mitrasacme maritima,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 312 (1996),,Mitrasacme maritima,990994-1,Species,Mitrasacme maritima,990994-1
673142,546673-1,Loganiaceae,Mitrasacme,micrantha,,Mitrasacme micrantha,Domin,Species,Accepted,546673-1,Mitrasacme micrantha,,25093-1,Mitrasacme,Labill.,In review,Biblioth. Bot. 22(89): 517 (1928),,Mitrasacme micrantha,546673-1,Species,Mitrasacme micrantha,546673-1
673145,546675-1,Loganiaceae,Mitrasacme,multicaulis,,Mitrasacme multicaulis,R.Br.,Species,Accepted,546675-1,Mitrasacme multicaulis,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme multicaulis,546675-1,Species,Mitrasacme multicaulis,546675-1
673146,546676-1,Loganiaceae,Mitrasacme,neglecta,,Mitrasacme neglecta,Leenh.,Species,Accepted,546676-1,Mitrasacme neglecta,,25093-1,Mitrasacme,Labill.,In review,Bull. Jard. Bot. État Bruxelles 32: 449 (1962),,Mitrasacme neglecta,546676-1,Species,Mitrasacme neglecta,546676-1
673147,990990-1,Loganiaceae,Mitrasacme,neldneri,,Mitrasacme neldneri,Dunlop,Species,Accepted,990990-1,Mitrasacme neldneri,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 311 (1996),,Mitrasacme neldneri,990990-1,Species,Mitrasacme neldneri,990990-1
